PC,explained_variance_ratio,explained_variance_percent
PC1,0.5035124090274562,50.35124090274562
PC2,0.18503047262514463,18.503047262514464
PC3,0.14963868216764173,14.963868216764173
PC4,0.057442053576776085,5.744205357677608
PC5,0.04573483418609944,4.5734834186099445
PC6,0.021026214702529272,2.1026214702529273
PC7,0.017117577080508036,1.7117577080508035
PC8,0.00958324364299131,0.9583243642991309
PC9,0.007229945165889933,0.7229945165889933
PC10,0.0036845678249634536,0.36845678249634534
