h1_audio,predicted_h2_audio,true_h2_audio,is_correct,assigned_cost,true_match_cost,true_match_rank,predicted_match_rank_for_this_h1,best_candidate_cost_for_this_h1,second_best_candidate_cost_for_this_h1,margin_best_to_second,centroids_distance_assigned,centroids_distance_true,geometry_distance_assigned,geometry_distance_true,ellipse_distance_assigned,ellipse_distance_true,overlap_distance_assigned,overlap_distance_true
061ea7d0-Audio_SP16,1c403477-Audio_SP13,061ea7d0-Audio_SP16,False,0.3785227349643786,0.3471243741963225,2,3,0.25790504227677735,0.3471243741963225,0.08921933191954518,0.6219140488745247,0.20967814428288498,0.4528757793472116,0.26412374862196086,0.3785227349643786,0.3471243741963225,0.6073566546129777,0.49880995186360316
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,True,0.8819178210926861,0.8819178210926861,3,3,0.7372342114303239,0.864332532382875,0.12709832095255114,0.2827238708329002,0.2827238708329002,0.25578855654609955,0.25578855654609955,0.8819178210926861,0.8819178210926861,2.045482339221539,2.045482339221539
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,True,0.26326859237987654,0.26326859237987654,1,1,0.26326859237987654,0.35327234099527516,0.09000374861539862,0.28644929876290015,0.28644929876290015,0.5898000468283039,0.5898000468283039,0.26326859237987654,0.26326859237987654,0.3519688092294734,0.3519688092294734
0f786745-Audio_SP20,0f786745-Audio_SP20,0f786745-Audio_SP20,True,0.6217624580899144,0.6217624580899144,1,1,0.6217624580899144,0.8503205537943854,0.22855809570447105,0.1597674585113706,0.1597674585113706,0.23249909679185876,0.23249909679185876,0.6217624580899144,0.6217624580899144,0.7078409462029293,0.7078409462029293
12c532f8-Audio_SP15,12c532f8-Audio_SP15,12c532f8-Audio_SP15,True,0.26657793837826876,0.26657793837826876,1,1,0.26657793837826876,0.6365292027413557,0.36995126436308695,0.1473757748937704,0.1473757748937704,0.22139733127207858,0.22139733127207858,0.26657793837826876,0.26657793837826876,0.26195868957880036,0.26195868957880036
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,True,0.5321064053789347,0.5321064053789347,5,5,0.47030296781083486,0.5057654742933644,0.03546250648252952,0.40586068125396535,0.40586068125396535,0.28345044406273345,0.28345044406273345,0.5321064053789347,0.5321064053789347,0.4993810949639579,0.4993810949639579
1c403477-Audio_SP13,061ea7d0-Audio_SP16,1c403477-Audio_SP13,False,0.33771608359425165,0.40244063313025813,2,1,0.33771608359425165,0.40244063313025813,0.06472454953600648,0.6533037224385573,0.256113741644046,0.2649653261880548,0.3972452455948257,0.33771608359425165,0.40244063313025813,0.2623530435652931,0.6502018788919334
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,True,0.20316071122550086,0.20316071122550086,1,1,0.20316071122550086,0.27327787082953325,0.07011715960403239,0.17731173022076716,0.17731173022076716,0.2856160684532883,0.2856160684532883,0.20316071122550086,0.20316071122550086,0.12474550204679165,0.12474550204679165
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,True,0.4851078883129156,0.4851078883129156,3,3,0.41425945555893795,0.4545573790948734,0.040297923535935476,0.30128445658302905,0.30128445658302905,0.4262084475916584,0.4262084475916584,0.4851078883129156,0.4851078883129156,0.29184288190239904,0.29184288190239904
2e25304d-Audio_SP12,2e25304d-Audio_SP12,2e25304d-Audio_SP12,True,0.5560082810078584,0.5560082810078584,1,1,0.5560082810078584,0.6852031390805429,0.1291948580726845,0.24530156575120238,0.24530156575120238,0.335933101754523,0.335933101754523,0.5560082810078584,0.5560082810078584,0.6927539879739356,0.6927539879739356
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,True,0.350971085913711,0.350971085913711,1,1,0.350971085913711,0.4716443467142515,0.12067326080054047,0.3584375661097159,0.3584375661097159,0.5892945344054557,0.5892945344054557,0.350971085913711,0.350971085913711,1.1009754134264178,1.1009754134264178
3361ee02-Audio_SP10,3361ee02-Audio_SP10,3361ee02-Audio_SP10,True,0.9661406192562323,0.9661406192562323,5,5,0.7341022438444581,0.8942811760418411,0.160178932197383,0.26878565814753363,0.26878565814753363,0.49541701696687324,0.49541701696687324,0.9661406192562323,0.9661406192562323,0.5363724740791619,0.5363724740791619
34ad326e-Audio_SP7,34ad326e-Audio_SP7,34ad326e-Audio_SP7,True,0.4488689003896654,0.4488689003896654,1,1,0.4488689003896654,1.098895462634141,0.6500265622444755,0.36584436573311524,0.36584436573311524,0.6992797319938548,0.6992797319938548,0.4488689003896654,0.4488689003896654,2.006397883643092,2.006397883643092
375a28cd-Audio_SP16,375a28cd-Audio_SP16,375a28cd-Audio_SP16,True,0.7149861535645842,0.7149861535645842,1,1,0.7149861535645842,0.7376117432871208,0.022625589722536588,0.3647228101044205,0.3647228101044205,0.5239220543907097,0.5239220543907097,0.7149861535645842,0.7149861535645842,0.6969194629014565,0.6969194629014565
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,True,0.1753710866845804,0.1753710866845804,1,1,0.1753710866845804,0.5169398336431533,0.3415687469585729,0.08584370481411428,0.08584370481411428,0.06482173512101895,0.06482173512101895,0.1753710866845804,0.1753710866845804,0.2095914301048858,0.2095914301048858
49ae7020-Audio_SP17,dbeec025-Audio_SP13,49ae7020-Audio_SP17,False,0.4291200580179804,0.5502112156999246,5,1,0.4291200580179804,0.4651860835878998,0.03606602556991939,0.7291658459893313,0.22037616433305365,0.9984688606926604,0.31762453897726,0.4291200580179804,0.5502112156999246,1.2195400486381054,0.4729109366270644
501e6487-Audio_SP19,501e6487-Audio_SP19,501e6487-Audio_SP19,True,0.3239869640722397,0.3239869640722397,1,1,0.3239869640722397,0.4816621874732935,0.15767522340105378,0.3062090108002664,0.3062090108002664,0.37360216839191596,0.37360216839191596,0.3239869640722397,0.3239869640722397,0.5362823480594491,0.5362823480594491
514fc6b6-Audio_SP19,a1a056ce-Audio_SP11,514fc6b6-Audio_SP19,False,0.5700704565567036,0.4928024094570398,1,2,0.4928024094570398,0.5700704565567036,0.07726804709966384,0.973872223453505,0.42028637407452124,0.9454288231005835,0.73294903662852,0.5700704565567036,0.4928024094570398,0.693657811722054,0.8617486106862515
51a17262-Audio_SP18,514fc6b6-Audio_SP19,51a17262-Audio_SP18,False,0.44904067271609227,0.80366132745201,4,1,0.44904067271609227,0.7268102548423971,0.27776958212630487,0.7418882756343282,0.5541403991958146,1.2533790410618275,1.007392516323322,0.44904067271609227,0.80366132745201,0.5302707436228131,0.9451738805281982
5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,True,0.49122712040510885,0.49122712040510885,1,1,0.49122712040510885,0.684392810082825,0.1931656896777162,0.23135020574378173,0.23135020574378173,0.31454525358253776,0.31454525358253776,0.49122712040510885,0.49122712040510885,0.5210910346923088,0.5210910346923088
