vowel,n,f1_median_mean,f2_median_mean,f1_median_sd,f2_median_sd
a,43,654.7985921052646,1481.585395438527,76.51891785742303,179.2422606369207
e,43,482.60560918997686,1907.6948364356422,50.06618743181767,136.35206780780925
i,43,377.5708737230173,2193.1582743304793,43.78114030010298,201.59813983554585
o,43,508.69571284726425,1105.363080719618,53.41405248143003,98.64533427111674
u,43,423.99128547398595,956.9972427663861,42.387465902524546,98.08455613497703
