vowel_1,vowel_2,centroid_distance_f1f2
i,u,1237.032315901542
i,o,1095.6697069273437
e,u,952.5027840133575
e,o,802.7558406758594
a,i,763.669542285148
a,u,573.1184369031889
a,e,459.5864217665036
a,o,403.5954427640774
e,i,304.17374973747116
o,u,170.8427987601457
