half,n_tokens,n_vowels_present,min_tokens_per_vowel,vowel_space_area,mean_pairwise_centroid_distance,min_pairwise_centroid_distance,mean_pairwise_separation_score,min_pairwise_separation_score,mean_within_vowel_dispersion,silhouette_by_vowel
H1,1834,5,60,150027.07612244255,585.1709982372539,178.64831519883197,2.8221200346822912,0.7773636488983094,202.27492221592084,0.19707414441845802
H2,1764,5,46,133979.22985381668,539.2708715572236,126.87748056067636,2.458172733619116,0.4699368309252642,217.58458329600018,0.20652382245798745
