config_id,model,feature_set,fold,train_tokens,test_tokens,train_speakers,test_speakers,accuracy,balanced_accuracy,macro_f1
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,1,111294,27299,35,8,0.5810835561742188,0.6445881718125333,0.5612934285264727
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,2,110505,28088,34,9,0.6277057818285389,0.6440425437873155,0.5893465114590867
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,3,110505,28088,34,9,0.7031828538877812,0.6776892338839537,0.6626433486638442
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,4,111885,26708,35,8,0.6748914183016325,0.6905771243792781,0.6388637939508947
LDA shrinkage__ALL_SAFE_NUMERIC,LDA shrinkage,ALL_SAFE_NUMERIC,5,110183,28410,34,9,0.7332277367124252,0.7278167614172365,0.6885632235757317
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,1,111294,27299,35,8,0.6065423641891644,0.6631772210096625,0.5855492300151879
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,2,110505,28088,34,9,0.6391697522073483,0.6563005668481621,0.6012119816325958
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,3,110505,28088,34,9,0.7050341782967815,0.6876667048785406,0.6666038406076791
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,4,111885,26708,35,8,0.6706604762617943,0.6892327595276014,0.6335860189614835
Logistic regression__ALL_SAFE_NUMERIC,Logistic regression,ALL_SAFE_NUMERIC,5,110183,28410,34,9,0.7307990144315382,0.7313171246532209,0.6892122370183291
Random forest__F1_F2_F3,Random forest,F1_F2_F3,1,111294,27299,35,8,0.700208798857101,0.6788414895504977,0.6592852864013714
Random forest__F1_F2_F3,Random forest,F1_F2_F3,2,110505,28088,34,9,0.7191327257191683,0.6474034707748948,0.6530583144050055
Random forest__F1_F2_F3,Random forest,F1_F2_F3,3,110505,28088,34,9,0.7167829678154372,0.6253335836746283,0.6391286331281749
Random forest__F1_F2_F3,Random forest,F1_F2_F3,4,111885,26708,35,8,0.7260371424292347,0.6506656592658134,0.6577238727511674
Random forest__F1_F2_F3,Random forest,F1_F2_F3,5,110183,28410,34,9,0.7691657866948257,0.6715958797637592,0.6856279933346783
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,1,111294,27299,35,8,0.7284882230118319,0.7126972446461786,0.692416607715372
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,2,110505,28088,34,9,0.7369695243520364,0.680337149862819,0.6813183839533065
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,3,110505,28088,34,9,0.7480774708060381,0.660306103603024,0.6763245725630715
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,4,111885,26708,35,8,0.7601842144675752,0.692789356168644,0.7059113249634106
Random forest__ALL_SAFE_NUMERIC,Random forest,ALL_SAFE_NUMERIC,5,110183,28410,34,9,0.8003871876099965,0.7196386316807584,0.7363952923850926
