F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,B1_Hz,B2_Hz,B3_Hz,_source_file,_audio_id,_token_time,_audio_duration,_split_time,_time_basis,_split_basis,half
494.0472257378819,1214.8513902689565,2696.260429893792,3.948548061317054,3.482061657813944,3.405887301556203,5333.333333333333,0.0003832532552079,1129.45575,0.031,0.3297872340425531,0-0-2570-1,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,158.564812187033,75.93543110539893,8,los,,0.0699999999999363,es,miércoles,l,s,l,s,internal,51.86001458337298,32.52671194688749,30.141028043438045,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1129.45575,2234.904,1117.452,time column: time,audio_duration,H2
447.9638815921763,1137.5600347845343,2875.7537709970934,3.4854190004088044,2.9440470696867216,3.274337098765451,5333.333333333333,1.01086532443e-05,1130.3627499999998,0.025,0.3378378378378378,0-0-2574-1,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,149.36391785490162,74.0039046741069,8,domingos,,0.0500000000001819,los,[silence],d,m,d,m,internal,32.63609878417319,18.992555178828628,26.425702042542323,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1130.3627499999998,2234.904,1117.452,time column: time,audio_duration,H2
504.53501127947845,993.2888370882486,2797.31724546996,2.9921745022137096,2.3210778166539585,3.180150109680983,5153.846153846154,0.0005022170216961,1130.71575,0.051,0.3311688311688312,0-0-2574-6,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,178.99278861037195,73.86782635702937,8,domingos,,0.1299999999998817,los,[silence],g,s,g,s,internal,19.92897100058578,10.186647729912853,24.050363473504177,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1130.71575,2234.904,1117.452,time column: time,audio_duration,H2
608.7485908436599,1158.6271581854912,2930.4341952959594,4.076682789860977,3.46364680992734,4.043201447555421,5692.307692307692,0.000363498200022,1131.48375,0.027,0.3214285714285714,0-0-2576-1,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,130.1775271947613,65.22387432340945,8,normal,,0.0599999999999454,[silence],¿,n,R,n,R,internal,58.94959695301222,31.933218808427107,57.00856088690935,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1131.48375,2234.904,1117.452,time column: time,audio_duration,H2
517.7177168428001,996.767570263882,2580.1724178153418,3.6189373580590094,2.8276202661680725,3.608609287210455,4794.871794871795,0.0052232947709973,1134.87575,0.051,0.3311688311688312,0-0-2590-4,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,154.88977481721992,68.270956544208,8,cobro,,0.1300000000001091,mi,[silence],R,#,R,®,final,37.29791242998436,16.905183082280402,36.91467938351795,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1134.87575,2234.904,1117.452,time column: time,audio_duration,H2
493.9924624902582,1173.3895299418673,2644.6985087106127,3.056625677538719,2.611598819337172,3.1019601941838304,5153.846153846154,0.0001745723785237,1136.51775,0.035,0.3365384615384616,0-0-2594-7,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,295.57477967659975,76.51541081451177,8,solicito,,0.0799999999999272,lo,unos,t,#,t,ú,final,21.25571238873595,13.620810667671943,22.241506250588905,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1136.51775,2234.904,1117.452,time column: time,audio_duration,H2
413.3601154284463,943.1150517563892,1419.8803736359737,3.791630115138889,3.118863364677952,3.876088800305293,4256.410256410256,0.0398955059849476,1136.66375,0.047,0.3263888888888889,0-0-2595-2,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,125.6118532750034,73.31168664798928,8,unos,,0.1199999999998908,solicito,dos,n,s,n,s,internal,44.32860213675078,22.62065359149568,48.23518819803584,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1136.66375,2234.904,1117.452,time column: time,audio_duration,H2
859.7360153022812,1275.202499254926,2578.589734147642,3.994710557138141,3.506952783550572,4.417157039235521,5333.333333333333,0.0727527653396176,1142.44775,0.055,0.3353658536585365,0-0-2620-4,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,108.38952544730095,62.5717331776831,8,medio,,0.1399999999998726,y,más,i,#,i,m,final,54.31011867244288,33.34649880694739,82.86038137117559,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1142.44775,2234.904,1117.452,time column: time,audio_duration,H2
533.8209054302997,1891.2156816900688,2154.9967767982525,2.6121896889150977,3.709947509056757,4.766454293947585,5512.820512820513,0.0048299011685608,1155.24875,0.037,0.324561403508772,0-0-2639-1,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,181.59744904183293,72.14308575139377,8,lo,,0.0899999999999181,[silence],hago,l,#,l,á,final,13.628861168485946,40.85166212843183,117.50187535766176,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1155.24875,2234.904,1117.452,time column: time,audio_duration,H2
566.0078923756787,1102.9592504894645,1765.8711128893642,3.5622316157094023,3.615455159351007,4.839834086680528,4794.871794871795,0.0070976306253544,1155.48375,0.047,0.3263888888888889,0-0-2640-2,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,97.06857940919132,76.06627895615057,8,hago,,0.1199999999998908,lo,mensual,g,#,g,m,final,35.241755511688496,37.16825955705382,126.448370520737,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1155.48375,2234.904,1117.452,time column: time,audio_duration,H2
487.2181690185605,942.1268614098448,2753.014137691124,3.053896454206324,2.287962610590659,3.2231083906565545,5153.846153846154,0.0018861251266768,1160.90875,0.177,0.3314606741573033,0-0-2658-3,o,919b9bc1-Audio_SP14.v0,group_0,1,fave,267.4208408222798,70.49685601533021,8,pero,,0.5099999999999909,",",esta,R,#,R,é,final,21.197779893856254,9.854839069025797,25.106038393644425,919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,1160.90875,2234.904,1117.452,time column: time,audio_duration,H2
