pair,centroid_distance_H1,centroid_distance_H2
i-e,219.0769231720606,201.618123779453
i-a,658.8237012921503,728.2947783780509
i-o,1027.2362306511934,1016.683904289293
i-u,1166.7593254870837,1223.8056653091319
e-a,442.4201193750177,527.1607938948396
e-o,823.6893442837797,821.2656817328256
e-u,968.4922299950648,1031.4978081263157
a-o,406.5156727844689,320.9875184905028
a-u,559.9649375226146,537.2359226730739
o-u,154.3997011377014,216.44638921938665
