audio,vowel_norm,f1_median,f2_median,chosen_k,cluster,join_key,Part,InfoInterv,Time.code.and.speaker,Time.code.and.speaker.2,Speaker,Sex,Age,CivilStatus,CountryRes,MigrationStatus,Location,Education,Discipline,English,EmploymentStatus,Type_mw_earnings,Amount_mw_earnings,Income_group,_merge
061ea7d0-Audio_SP16,a,695.3452846310845,1555.298443972616,3,3,061ea7d0-audio_sp16,Part2,Interviewee,061ea7d0-Audio_SP16,ITW27-Audio_SP16.v0.seg,ITW27,M,25-34,Single,CO,Native,Corozal,Short HE,Eng-Science,noENG,Student,Main_income,477.91,2,both
0af9ac47-Audio_SP14,a,701.0597997834732,1539.8764967645131,3,3,0af9ac47-audio_sp14,Part2,Interviewee,0af9ac47-Audio_SP14,ITW23c-Audio_SP14.v0.seg,ITW23c,M,18-24,Single,VE,Native,Barquisimeto,Bachelor,Bus-Econ,ENG,Not_in_work,Main_income,530.27,3,both
0e6115f2-Audio_SP19,a,596.9263783901112,1554.3510167822085,3,3,0e6115f2-audio_sp19,Part1,Interviewee,0e6115f2-Audio_SP19,ITW5-Audio_SP19.v0.seg,ITW5,M,25-34,Cohabitation,PE,Native,Huaraz,Bachelor,Eng-Science,noENG,Student,Main_income,137.05,2,both
0f786745-Audio_SP20,a,608.8561310113683,775.9764613627284,3,2,0f786745-audio_sp20,Part2,Interviewee,0f786745-Audio_SP20,ITW31-Audio_SP20.v0.seg,ITW31,M,18-24,Cohabitation,DO,Native,Santo Domingo,Bachelor,CompScience,noENG,Independent,Extra_income,43.35,1,both
12c532f8-Audio_SP15,a,622.3425917699177,1522.9714571901743,3,3,12c532f8-audio_sp15,Part1,Interviewee,12c532f8-Audio_SP15,ITW1-Audio_SP15.v0.seg,ITW1,M,45-64,Divorced,AR,Native,Lujan,Secondary/Vocational,Eng-Science,ENG,Independent,Extra_income,1071.71,4,both
181d5ce9-Audio_SP21,a,610.0511714300974,1479.1817640776362,3,3,181d5ce9-audio_sp21,Part2,Interviewee,181d5ce9-Audio_SP21,ITW22b-Audio_SP21.v0.seg,ITW22b,M,25-34,Single,VE,Native,Ciudad Bolívar,Bachelor,Eng-Science,ENG,Independent,Main_income,276.8,2,both
1c403477-Audio_SP13,a,624.5390580996439,1511.04873815674,3,3,1c403477-audio_sp13,Part2,Interviewee,1c403477-Audio_SP13,ITW41-Audio_SP13.v0.seg,ITW41,M,35-44,Married,SV,Native,San Salvador,Master,Bus-Econ,noENG,Employee,Extra_income,73.24,1,both
1d46eb6e-Audio_SP18,a,703.790948089287,1569.0515675990007,3,3,1d46eb6e-audio_sp18,Part1,Interviewee,1d46eb6e-Audio_SP18,ITW9-Audio_SP18.v0.seg,ITW9,M,35-44,Cohabitation,VE,Native,San Cristóbal,Secondary/Vocational,CompScience,ENG,Not_in_work,Main_income,1096.45,4,both
2988c6fc-Audio_SP13,a,690.5252133772518,1488.1762709674306,3,3,2988c6fc-audio_sp13,Part2,Interviewee,2988c6fc-Audio_SP13,ITW42-Audio_SP13.v0.seg,ITW42,M,35-44,Cohabitation,VE,Native,Barinas,Secondary/Vocational,Bus-Econ,noENG,Employee,Main_income,194.03,2,both
2e25304d-Audio_SP12,a,776.7194812281965,1633.8902014854257,3,1,2e25304d-audio_sp12,Part2,Interviewee,2e25304d-Audio_SP12,ITW32-Audio_SP12.v0.seg,ITW32,F,25-34,Cohabitation,AR,Native,Buenos Aires,Secondary/Vocational,Eng-Science,ENG,Student,Extra_income,798.92,3,both
30a90cb2-Audio_SP21,a,567.0282762535832,1440.1939169255425,3,3,30a90cb2-audio_sp21,Part1,Interviewee,30a90cb2-Audio_SP21,ITW3-Audio_SP21.v0.seg,ITW3,M,25-34,Single,EC,Native,Quito,Master,Law-Soc,ENG,Employee,Main_income,617.4,3,both
3361ee02-Audio_SP10,a,583.8434900092685,1389.2331405660502,3,3,3361ee02-audio_sp10,Part2,Interviewee,3361ee02-Audio_SP10,ITW29-Audio_SP10.v0.seg,ITW29,M,18-24,Single,PY,Native,Itagua,Secondary/Vocational,CompScience,ENG,Student,Main_income,19.6,1,both
34ad326e-Audio_SP7,a,691.2749788041349,1355.3207697026517,3,3,34ad326e-audio_sp7,Part1,Interviewee,34ad326e-Audio_SP7,ITW2-Audio_SP7.v0.seg,ITW2,M,18-24,Single,CO,Native,Popayán,Bachelor,Bus-Econ,ENG,Student,Main_income,327.21,2,both
375a28cd-Audio_SP16,a,537.4263107586132,1231.699427168906,3,3,375a28cd-audio_sp16,Part1,Interviewee,375a28cd-Audio_SP16,ITW17-Audio_SP16.v0.seg,ITW17,M,35-44,Single,AR,Native,Buenos Aires,Short HE,CompScience,ENG,Independent,Main_income,235.2,2,both
42d56bbf-Audio_SP23,a,575.3709335561932,1441.6197917941886,3,3,42d56bbf-audio_sp23,Part2,Interviewee,42d56bbf-Audio_SP23,ITW21-Audio_SP23.v0.seg,ITW21,M,45-64,Married,VE,Native,San Antonio de los Altos,Master,Eng-Science,ENG,Not_in_work,Main_income,991.55,3,both
49ae7020-Audio_SP17,a,659.8446743090141,1539.480883859387,3,3,49ae7020-audio_sp17,Part1,Interviewee,49ae7020-Audio_SP17,ITW13-Audio_SP17.v0.seg,ITW13,M,25-34,Married,PE,Native,Chincha,Bachelor,Eng-Science,ENG,Not_in_work,Extra_income,2151.72,4,both
501e6487-Audio_SP19,a,544.0426584768383,1457.192331173307,3,3,501e6487-audio_sp19,Part2,Interviewee,501e6487-Audio_SP19,ITW38-Audio_SP19.v0.seg,ITW38,M,35-44,Cohabitation,VE,Native,Merida,Bachelor,Eng-Science,noENG,Independent,Main_income,51.58,1,both
514fc6b6-Audio_SP19,a,787.0688197287611,1683.433271340106,3,1,514fc6b6-audio_sp19,Part1,Interviewee,514fc6b6-Audio_SP19,ITW10-Audio_SP19.v0.seg,ITW10,F,25-34,Single,VE,Native,Cua,Short HE,Law-Soc,ENG,Employee,Main_income,1164.84,4,both
51a17262-Audio_SP18,a,718.7786961345718,1777.5164300981637,3,1,51a17262-audio_sp18,Part1,Interviewee,51a17262-Audio_SP18,ITW23-Audio_SP18.v0.seg,ITW23,F,25-34,Single,VE,Native,Valencia,Bachelor,Law-Soc,noENG,Other,Main_income,1208.04,4,both
5278b5b9-Audio_SP15,a,496.2971158939776,1508.2060263176395,3,3,5278b5b9-audio_sp15,Part2,Interviewee,5278b5b9-Audio_SP15,ITW39-Audio_SP15.v0.seg,ITW39,M,18-24,Single,CO,Native,Alban,Secondary/Vocational,Bus-Econ,ENG,Other,Main_income,556.52,3,both
5586979c-Audio_SP18,a,633.5785353020991,1552.8577772068884,3,3,5586979c-audio_sp18,Part2,Interviewee,5586979c-Audio_SP18,ITW43-Audio_SP18.v0.seg,ITW43,M,18-24,Single,CO,Native,Turbaco,Bachelor,Bus-Econ,ENG,Student,Extra_income,1135.3,4,both
5819ce7a-Audio_SP11,a,771.6711803254477,1687.1173834653844,3,1,5819ce7a-audio_sp11,Part2,Interviewee,5819ce7a-Audio_SP11,ITW40-Audio_SP11.v0.seg,ITW40,F,18-24,Single,VE,Native,Caracas,Secondary/Vocational,Law-Soc,ENG,Student,Main_income,666.55,3,both
5a932187-audio_SP16,a,734.4541565925302,1660.239864222974,3,1,5a932187-audio_sp16,Part2,Interviewee,5a932187-audio_SP16,ITW20b-audio_SP16.v0.seg,ITW20b,F,35-44,Divorced,VE,Native,Valencia,Secondary/Vocational,Law-Soc,ENG,Independent,Main_income,888.73,3,both
63239054-Audio_SP15,a,622.6394355733177,1386.1024937143347,3,3,63239054-audio_sp15,Part2,Interviewee,63239054-Audio_SP15,ITW26-Audio_SP15.v0.seg,ITW26,M,25-34,Single,CO,Native,Bogotá,Bachelor,Law-Soc,ENG,Employee,Extra_income,71.38,1,both
713a2f9b-Audio_SP16,a,560.8757074124037,1443.6567551124635,3,3,713a2f9b-audio_sp16,Part2,Interviewee,713a2f9b-Audio_SP16,ITW29b-Audio_SP16.v0.seg,ITW29b,M,25-34,,PE,Native,Lima,Bachelor,Eng-Science,ENG,Employee,Extra_income,301.53,2,both
7a414497-Audio_SP15,a,685.6385394874496,1486.3521655311802,3,3,7a414497-audio_sp15,Part1,Interviewee,7a414497-Audio_SP15,ITW20-Audio_SP15.v0.seg,ITW20,F,35-44,Married,DO,Native,Montellano,Bachelor,Bus-Econ,ENG,Student,Main_income,696.86,3,both
7aee4437-Audio_SP12,a,769.5168801046079,1545.0443307531536,3,1,7aee4437-audio_sp12,Part1,Interviewee,7aee4437-Audio_SP12,ITW12-Audio_SP12.v0.seg,ITW12,M,18-24,Single,VE,Native,Maracay,Short HE,Eng-Science,ENG,Student,Main_income,654.16,3,both
7c3c98d2-Audio_SP13,a,844.92294211866,1650.1699266796115,3,1,7c3c98d2-audio_sp13,Part2,Interviewee,7c3c98d2-Audio_SP13,ITW36-Audio_SP13.v0.seg,ITW36,F,18-24,Cohabitation,EC,Native,Quito,Bachelor,Eng-Science,ENG,Student,Main_income,447.88,2,both
7dec1dd7-Audio_SP13,a,658.4498834763972,1515.4812393365437,3,3,7dec1dd7-audio_sp13,Part1,Interviewee,7dec1dd7-Audio_SP13,ITW25-Audio_SP13.v0.seg,ITW25,M,18-24,Married,AR,Native,Buenos Aires,Bachelor,Eng-Science,ENG,Independent,Extra_income,1343.28,4,both
7e277fda-Audio_SP28,a,641.92737991814,992.208782114192,3,2,7e277fda-audio_sp28,Part2,Interviewee,7e277fda-Audio_SP28,ITW19-Audio_SP28.v0.seg,ITW19,M,35-44,Married,VE,Native,Guacara,Short HE,Eng-Science,ENG,Employee,Main_income,847.28,3,both
