vowel,social_variable,n_speakers_or_rows,n_clusters,n_categories,chi2,dof,p_value,cramers_v,effect_label,min_expected_count,n_cells_expected_below_5,caution_sparse_table,p_fdr
a,Sex,43,3,2,32.5349853372434,2,8.612271246347009e-08,0.8698434146341539,very strong,0.46511627906976744,3,True,5.167362747808205e-06
i,Sex,43,2,2,18.958239255298075,1,1.3361103508986875e-05,0.6639949435100632,very strong,2.0930232558139537,1,True,0.00040083310526960625
i,Income_group,43,2,4,17.145494157258856,3,0.0006596780913439155,0.6314526286760028,very strong,1.0465116279069768,5,True,0.007916137096126987
o,Sex,43,2,2,14.101487851487851,1,0.00017320672207516804,0.5726618355902355,strong,1.3953488372093024,2,True,0.003464134441503361
e,Sex,43,2,2,12.438016528925619,1,0.00042068230914986757,0.5378254348272378,strong,4.883720930232558,1,True,0.0063102346372480135
e,Education,43,2,4,10.842608225108224,3,0.012608119944231904,0.5021490611896826,strong,1.9534883720930232,6,True,0.12608119944231902
u,CivilStatus,42,8,4,29.889206349206347,21,0.09423709681995167,0.4870481735992853,strong,0.047619047619047616,31,True,0.4349404468613154
u,Sex,43,8,2,10.182251082251083,7,0.17847858278133422,0.4866174439912084,strong,0.23255813953488372,13,True,0.5636165772042133
i,Discipline,43,2,4,9.046996576408342,3,0.028672523307571474,0.45868864082163474,strong,1.255813953488372,5,True,0.21504392480678605
i,EmploymentStatus,43,2,5,8.597080044138867,4,0.07199859262777539,0.4471376678940627,strong,0.4186046511627907,7,True,0.4349404468613154
a,CountryRes,43,3,8,16.27594876660342,14,0.29681450336626447,0.4350347321953948,strong,0.046511627906976744,22,True,0.7049687862447256
u,Income_group,43,8,4,24.393502886002885,21,0.27438538551215397,0.43485275852513755,strong,0.11627906976744186,32,True,0.7049687862447256
u,MigrationStatus,43,8,2,7.7527319902319904,7,0.3549020038763831,0.42461287403479986,strong,0.09302325581395349,13,True,0.7049687862447256
a,Discipline,43,3,4,14.841935483870966,6,0.021522377503872335,0.41542826716689646,strong,0.27906976744186046,9,True,0.18447752146176288
u,Age,43,8,4,22.1604884004884,21,0.39031263641408487,0.4144716296524188,strong,0.06976744186046512,32,True,0.7049687862447256
e,CountryRes,43,2,8,7.3513082505729574,7,0.3932404687214682,0.4134738891273169,strong,0.4883720930232558,14,True,0.7049687862447256
i,CountryRes,43,2,8,7.1716262975778555,7,0.41123179197608994,0.4083895284167008,strong,0.20930232558139536,14,True,0.7049687862447256
u,Discipline,43,8,4,21.094538926681782,21,0.45318372112816246,0.4043804614112514,strong,0.13953488372093023,31,True,0.7175117805797304
o,CivilStatus,42,2,4,6.805555555555555,3,0.07836050657198988,0.40253824294970664,strong,0.2857142857142857,5,True,0.4349404468613154
u,Education,43,8,4,20.23986111111111,21,0.5061169652427207,0.3961037088290744,moderate,0.09302325581395349,31,True,0.7175117805797304
