variable,Sex,n,mean,sd,median,minimum,maximum,CountryRes,Education
Sex,F,10,0.6671134267688332,0.060898365055650466,0.6703941360647523,0.556451639527374,0.7881257355129919,,
Sex,M,33,0.6881953253716535,0.059258834856472334,0.695772145689024,0.5526377287530051,0.7799054517198339,,
CountryRes,,5,0.6887690924571781,0.07382093644841302,0.6948402514151548,0.5826657196715705,0.7799054517198339,AR,
CountryRes,,8,0.6873078495210749,0.07439642212790165,0.7162375579977016,0.5526377287530051,0.7522874933366842,CO,
CountryRes,,2,0.7220465915722375,0.09345002155101884,0.7220465915722375,0.6559674476314831,0.7881257355129919,DO,
CountryRes,,4,0.681186518277691,0.04771946846485026,0.662347435118427,0.6480073530018822,0.7520438498720281,EC,
CountryRes,,5,0.69790205171052,0.04279075727784433,0.7070578255907727,0.6494845972475923,0.7539844251519346,PE,
CountryRes,,1,0.6533690109836842,,0.6533690109836842,0.6533690109836842,0.6533690109836842,PY,
CountryRes,,1,0.7579702664485273,,0.7579702664485273,0.7579702664485273,0.7579702664485273,SV,
CountryRes,,17,0.668798997309315,0.05663398548670858,0.6791346874846517,0.556451639527374,0.7363312475374745,VE,
Education,,25,0.6944351877054272,0.0568599728508536,0.695772145689024,0.556451639527374,0.7881257355129919,,Bachelor
Education,,4,0.666946541465628,0.06639240565640911,0.6551949085930555,0.5994260822278739,0.7579702664485273,,Master
Education,,8,0.6736225991585663,0.0676109689374065,0.6933829059685066,0.5526377287530051,0.7363312475374745,,Secondary/Vocational
Education,,6,0.660655558864362,0.060578158236404354,0.674516125109413,0.5826657196715705,0.7422964630400872,,Short HE
