speaker,balanced_accuracy,accuracy,macro_f1,n_tokens,Sex,CountryRes,Education,Income_raw,Time.code.and.speaker,join_id
7a414497-Audio_SP15,0.7881257355129919,0.8072063640617688,0.7901192943572248,2137,F,DO,Bachelor,696.86,7a414497-Audio_SP15,7a414497audiosp15
7aee4437-Audio_SP12,0.6698975627341741,0.7326431181485993,0.6873006006265506,1642,M,VE,Short HE,654.16,7aee4437-Audio_SP12,7aee4437audiosp12
7c3c98d2-Audio_SP13,0.6623124060526252,0.672202166064982,0.6145608117419822,4155,F,EC,Bachelor,447.88,7c3c98d2-Audio_SP13,7c3c98d2audiosp13
7dec1dd7-Audio_SP13,0.7799054517198339,0.8011996572407883,0.767221232797705,2334,M,AR,Bachelor,1343.28,7dec1dd7-Audio_SP13,7dec1dd7audiosp13
7e277fda-Audio_SP28,0.6933528963813205,0.7177061779485664,0.6868130814378197,3383,M,VE,Short HE,847.28,7e277fda-Audio_SP28,7e277fdaaudiosp28
85c7895f-Audio_SP16,0.6808651145757008,0.6398882291302829,0.5896533281653882,5726,M,CO,Bachelor,362.23,85c7895f-Audio_SP16,85c7895faudiosp16
919b9bc1-Audio_SP14,0.7539844251519346,0.7599624941397093,0.7199492692788716,2133,M,PE,Bachelor,295.96,919b9bc1-Audio_SP14,919b9bc1audiosp14
9a0c18cb-Audio_SP14,0.6970388902239077,0.6861780619773733,0.6504878184443107,2033,M,VE,Bachelor,976.5,9a0c18cb-Audio_SP14,9a0c18cbaudiosp14
a1a056ce-Audio_SP11,0.6611243201647594,0.5930735930735931,0.5544789723778308,1617,F,PE,Bachelor,2153.38,a1a056ce-Audio_SP11,a1a056ceaudiosp11
a452055c-Audio_SP11,0.6480073530018822,0.6108361552487627,0.5901068412131966,3839,M,EC,Master,513.67,a452055c-Audio_SP11,a452055caudiosp11
adad0062-Audio_SP17,0.7520438498720281,0.7929824561403509,0.7594244295079413,3705,M,EC,Bachelor,757.84,adad0062-Audio_SP17,adad0062audiosp17
c3533b36-Audio_SP16,0.7346334134156691,0.7799897907095457,0.7328164413561802,1959,M,VE,Bachelor,833.62,c3533b36-Audio_SP16,c3533b36audiosp16
cafd9c21-Audio_SP27,0.7522874933366842,0.778683513348278,0.7564136949674044,4907,M,CO,Bachelor,128.76,cafd9c21-Audio_SP27,cafd9c21audiosp27
d4c363bf-Audio_SP13,0.6603693877775634,0.6495575221238938,0.6148139089858298,3390,F,AR,Bachelor,1004.9,d4c363bf-Audio_SP13,d4c363bfaudiosp13
dbeec025-Audio_SP13,0.596586023874368,0.6497983131646498,0.6269439486875372,2727,M,VE,Short HE,1016.88,dbeec025-Audio_SP13,dbeec025audiosp13
e90f8e4d-Audio_SP22,0.7401355165179045,0.7059282371294852,0.6747518766723557,2564,M,CO,Bachelor,625.18,e90f8e4d-Audio_SP22,e90f8e4daudiosp22
f061152e-Audio_SP12,0.556451639527374,0.6617241379310345,0.5744282796871178,2900,F,VE,Bachelor,1653.98,f061152e-Audio_SP12,f061152eaudiosp12
fcd45f4d-Audio_SP21,0.6954719843372479,0.6629348260695722,0.6412131967115476,2501,M,VE,Bachelor,230.76,fcd45f4d-Audio_SP21,fcd45f4daudiosp21
