config_id,model,feature_set,speaker,n_tokens,accuracy,balanced_accuracy,macro_f1,n_true_vowels_present,join_id,Time.code.and.speaker,Sex,CountryRes,Education,Income_raw,_merge
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,9a0c18cb-Audio_SP14,2033,0.6861780619773733,0.6970388902239077,0.6504878184443107,5,9a0c18cbaudiosp14,9a0c18cb-Audio_SP14,M,VE,Bachelor,976.5,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,a1a056ce-Audio_SP11,1617,0.5930735930735931,0.6611243201647594,0.5544789723778308,5,a1a056ceaudiosp11,a1a056ce-Audio_SP11,F,PE,Bachelor,2153.38,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,a452055c-Audio_SP11,3839,0.6108361552487627,0.6480073530018822,0.5901068412131966,5,a452055caudiosp11,a452055c-Audio_SP11,M,EC,Master,513.67,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,adad0062-Audio_SP17,3705,0.7929824561403509,0.7520438498720281,0.7594244295079413,5,adad0062audiosp17,adad0062-Audio_SP17,M,EC,Bachelor,757.84,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,c3533b36-Audio_SP16,1959,0.7799897907095457,0.7346334134156691,0.7328164413561802,5,c3533b36audiosp16,c3533b36-Audio_SP16,M,VE,Bachelor,833.62,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,cafd9c21-Audio_SP27,4907,0.778683513348278,0.7522874933366842,0.7564136949674044,5,cafd9c21audiosp27,cafd9c21-Audio_SP27,M,CO,Bachelor,128.76,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,d4c363bf-Audio_SP13,3390,0.6495575221238938,0.6603693877775634,0.6148139089858298,5,d4c363bfaudiosp13,d4c363bf-Audio_SP13,F,AR,Bachelor,1004.9,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,dbeec025-Audio_SP13,2727,0.6497983131646498,0.596586023874368,0.6269439486875372,5,dbeec025audiosp13,dbeec025-Audio_SP13,M,VE,Short HE,1016.88,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,e90f8e4d-Audio_SP22,2564,0.7059282371294852,0.7401355165179045,0.6747518766723557,5,e90f8e4daudiosp22,e90f8e4d-Audio_SP22,M,CO,Bachelor,625.18,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,f061152e-Audio_SP12,2900,0.6617241379310345,0.556451639527374,0.5744282796871178,5,f061152eaudiosp12,f061152e-Audio_SP12,F,VE,Bachelor,1653.98,both
Logistic regression__F1_F2_F3,Logistic regression,F1_F2_F3,fcd45f4d-Audio_SP21,2501,0.6629348260695722,0.6954719843372479,0.6412131967115476,5,fcd45f4daudiosp21,fcd45f4d-Audio_SP21,M,VE,Bachelor,230.76,both
