half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,271.3261423290293,221.70521519475372,193.7210051197937,1.4006025942372433,0.713978400521664,0.07764632821516902,0.21732221614538433,356
H1,e,i,271.3261423290293,160.94239094997383,193.7210051197937,1.4006025942372433,0.713978400521664,0.22451220224399776,0.3259839702924708,476
H1,a,e,416.71800385854425,150.92792033751627,156.01552862151556,2.6710033772950736,0.37439114023610875,0.33641283207925987,0.4731727211886582,639
H1,o,u,148.0520521055491,161.7352746550349,174.15059706652107,0.850138067852831,1.176279521896568,0.12751840908529816,0.19095670895267858,522
H1,u,o,148.0520521055491,185.73788479874528,174.15059706652107,0.850138067852831,1.176279521896568,-0.10793459509882612,-0.050017521899056644,134
H2,i,e,309.3583193965791,256.19977662230855,218.0617141370695,1.4186732440437584,0.7048839499852831,0.06464649230056824,0.2555753108297285,354
H2,e,i,309.3583193965791,171.64934256638804,218.0617141370695,1.4186732440437584,0.7048839499852831,0.22499780335524275,0.3323607628954908,435
H2,a,e,412.65328984431966,162.75126091879008,167.25948363864055,2.467144348812206,0.4053269118531491,0.30355272655746973,0.4346517817744145,545
H2,o,u,72.15500052896502,152.3949600258159,190.7068301721686,0.3783556176977199,2.643016128807505,0.14192195257812196,0.20129584312865306,441
H2,u,o,72.15500052896502,222.5173393409212,190.7068301721686,0.3783556176977199,2.643016128807505,-0.1766311905357424,-0.17362116932151653,89
