center_f1,center_f2,cov_00_f2,cov_01,cov_11_f1,det_cov,region_level,chi2_q,width_f2_axis,height_f1_axis,angle_degrees,ellipse_area_analytic,raw_n_tokens,filtered_n_tokens,removed_outliers,removed_outliers_percent,audio,half,vowel
358.3068151701556,2016.043534998528,38388.21733555514,-237.12784639303217,3585.1161625004256,137569988.80374315,0.8,3.218875824868201,703.0564844310984,214.8007766360997,179.609644443071,118608.5363899517,304,296,8,2.631578947368421,375a28cd-Audio_SP16,H1,i
430.6703451860683,2143.70179967608,81591.09786249437,1486.14714822441,2481.8442583519804,200287764.41649055,0.8,3.218875824868201,1025.1272073389857,177.75165947668484,-178.92414702635796,143113.73145192885,472,463,9,1.9067796610169492,375a28cd-Audio_SP16,H1,e
540.463413146838,1241.1337364336835,135974.26920610407,-1265.660299730831,2215.089594035475,299593292.7807055,0.8,3.218875824868201,1323.2125054772714,168.422713823848,179.4579187867545,175033.08160640814,432,398,34,7.87037037037037,375a28cd-Audio_SP16,H1,a
467.3907106457084,974.7353276730789,33317.0418443606,1706.4064288920272,1977.836376346948,62983834.411485806,0.8,3.218875824868201,655.8707641905404,155.7975021151735,-176.89251444638546,80254.36155653691,510,504,6,1.1764705882352942,375a28cd-Audio_SP16,H1,o
400.2629529605346,802.215588662437,25841.526519777002,5172.378079665376,3316.541208366093,58950992.59092282,0.8,3.218875824868201,589.3081658231697,167.75184927174246,-167.6663589066522,77642.5261189465,111,105,6,5.405405405405405,375a28cd-Audio_SP16,H1,u
358.83087641500913,2126.1534759811716,37355.98513761903,728.9640581997174,3564.5798222706817,132627002.2644531,0.8,3.218875824868201,693.6710244703617,213.76009676174368,-178.76475463170638,116458.19981380235,311,292,19,6.109324758842444,375a28cd-Audio_SP16,H2,i
444.7827827954428,2267.5918712362272,39984.000524311516,847.9687072443488,2488.3840482553055,98776498.16166288,0.8,3.218875824868201,717.6774464820933,178.30426386237687,-178.70513030986032,100503.43575547446,415,387,28,6.746987951807229,375a28cd-Audio_SP16,H2,e
537.4236127738251,1190.530403809717,36731.23770638122,-367.6435396817185,2153.523818698099,78966433.51868387,0.8,3.218875824868201,687.7379559113863,166.36519862699672,179.39090105622873,89861.85051479937,422,378,44,10.42654028436019,375a28cd-Audio_SP16,H2,a
470.90331738347174,1002.2553309452103,27953.347836388253,1729.0139767888031,1679.626455111341,43961693.20299604,0.8,3.218875824868201,601.1423616681874,142.01168709437277,-176.25104294645564,67048.84506406994,487,474,13,2.6694045174537986,375a28cd-Audio_SP16,H2,o
427.03188604314016,866.4026554977049,19372.959168479032,2297.7470992236936,4013.981040085505,72483049.06063463,0.8,3.218875824868201,503.75360181556715,217.60269869141996,-171.67125792983143,86093.88836834415,90,84,6,6.666666666666667,375a28cd-Audio_SP16,H2,u
