cluster,vowel,chosen_k,n_speakers,f1_median_mean,f2_median_mean,f1_median_sd,f2_median_sd,speakers
1,a,3,10,750.7595477215109,1674.0080582545038,67.15639625293981,61.94914636000515,2e25304d-Audio_SP12; 514fc6b6-Audio_SP19; 51a17262-Audio_SP18; 5819ce7a-Audio_SP11; 5a932187-audio_SP16; 7aee4437-Audio_SP12; 7c3c98d2-Audio_SP13; a1a056ce-Audio_SP11; d4c363bf-Audio_SP13; f061152e-Audio_SP12
2,a,3,2,625.3917554647542,884.0926217384601,23.384904364286424,152.89934031506456,0f786745-Audio_SP20; 7e277fda-Audio_SP28
3,a,3,31,625.7406603994117,1458.061489607571,53.16313072540741,79.58956749747925,061ea7d0-Audio_SP16; 0af9ac47-Audio_SP14; 0e6115f2-Audio_SP19; 12c532f8-Audio_SP15; 181d5ce9-Audio_SP21; 1c403477-Audio_SP13; 1d46eb6e-Audio_SP18; 2988c6fc-Audio_SP13; 30a90cb2-Audio_SP21; 3361ee02-Audio_SP10; 34ad326e-Audio_SP7; 375a28cd-Audio_SP16; 42d56bbf-Audio_SP23; 49ae7020-Audio_SP17; 501e6487-Audio_SP19; 5278b5b9-Audio_SP15; 5586979c-Audio_SP18; 63239054-Audio_SP15; 713a2f9b-Audio_SP16; 7a414497-Audio_SP15; 7dec1dd7-Audio_SP13; 85c7895f-Audio_SP16; 919b9bc1-Audio_SP14; 9a0c18cb-Audio_SP14; a452055c-Audio_SP11; adad0062-Audio_SP17; c3533b36-Audio_SP16; cafd9c21-Audio_SP27; dbeec025-Audio_SP13; e90f8e4d-Audio_SP22; fcd45f4d-Audio_SP21
1,e,2,21,443.4932731204818,1836.9135157014268,27.00128228583136,88.07150654308086,0e6115f2-Audio_SP19; 12c532f8-Audio_SP15; 181d5ce9-Audio_SP21; 1c403477-Audio_SP13; 30a90cb2-Audio_SP21; 3361ee02-Audio_SP10; 34ad326e-Audio_SP7; 42d56bbf-Audio_SP23; 501e6487-Audio_SP19; 5278b5b9-Audio_SP15; 5586979c-Audio_SP18; 63239054-Audio_SP15; 713a2f9b-Audio_SP16; 7dec1dd7-Audio_SP13; 85c7895f-Audio_SP16; 919b9bc1-Audio_SP14; 9a0c18cb-Audio_SP14; a452055c-Audio_SP11; adad0062-Audio_SP17; c3533b36-Audio_SP16; fcd45f4d-Audio_SP21
2,e,2,22,519.9401118017676,1975.2588244092115,36.45380830561784,141.43648857215925,061ea7d0-Audio_SP16; 0af9ac47-Audio_SP14; 0f786745-Audio_SP20; 1d46eb6e-Audio_SP18; 2988c6fc-Audio_SP13; 2e25304d-Audio_SP12; 375a28cd-Audio_SP16; 49ae7020-Audio_SP17; 514fc6b6-Audio_SP19; 51a17262-Audio_SP18; 5819ce7a-Audio_SP11; 5a932187-audio_SP16; 7a414497-Audio_SP15; 7aee4437-Audio_SP12; 7c3c98d2-Audio_SP13; 7e277fda-Audio_SP28; a1a056ce-Audio_SP11; cafd9c21-Audio_SP27; d4c363bf-Audio_SP13; dbeec025-Audio_SP13; e90f8e4d-Audio_SP22; f061152e-Audio_SP12
1,i,2,9,429.77519051966345,2481.7310024605617,33.96234667913511,160.4820745569311,1d46eb6e-Audio_SP18; 2e25304d-Audio_SP12; 49ae7020-Audio_SP17; 514fc6b6-Audio_SP19; 51a17262-Audio_SP18; 5819ce7a-Audio_SP11; a1a056ce-Audio_SP11; d4c363bf-Audio_SP13; f061152e-Audio_SP12
2,i,2,34,363.75208398272866,2116.771375707811,34.92735225346467,129.45848673553735,061ea7d0-Audio_SP16; 0af9ac47-Audio_SP14; 0e6115f2-Audio_SP19; 0f786745-Audio_SP20; 12c532f8-Audio_SP15; 181d5ce9-Audio_SP21; 1c403477-Audio_SP13; 2988c6fc-Audio_SP13; 30a90cb2-Audio_SP21; 3361ee02-Audio_SP10; 34ad326e-Audio_SP7; 375a28cd-Audio_SP16; 42d56bbf-Audio_SP23; 501e6487-Audio_SP19; 5278b5b9-Audio_SP15; 5586979c-Audio_SP18; 5a932187-audio_SP16; 63239054-Audio_SP15; 713a2f9b-Audio_SP16; 7a414497-Audio_SP15; 7aee4437-Audio_SP12; 7c3c98d2-Audio_SP13; 7dec1dd7-Audio_SP13; 7e277fda-Audio_SP28; 85c7895f-Audio_SP16; 919b9bc1-Audio_SP14; 9a0c18cb-Audio_SP14; a452055c-Audio_SP11; adad0062-Audio_SP17; c3533b36-Audio_SP16; cafd9c21-Audio_SP27; dbeec025-Audio_SP13; e90f8e4d-Audio_SP22; fcd45f4d-Audio_SP21
1,o,2,6,603.606937091141,1269.9562328499658,28.552277925415158,79.42078426063219,0af9ac47-Audio_SP14; 2e25304d-Audio_SP12; 514fc6b6-Audio_SP19; 5a932187-audio_SP16; 7c3c98d2-Audio_SP13; f061152e-Audio_SP12
2,o,2,37,493.30470351041936,1078.6722992930752,38.34741736740687,72.31401903548903,061ea7d0-Audio_SP16; 0e6115f2-Audio_SP19; 0f786745-Audio_SP20; 12c532f8-Audio_SP15; 181d5ce9-Audio_SP21; 1c403477-Audio_SP13; 1d46eb6e-Audio_SP18; 2988c6fc-Audio_SP13; 30a90cb2-Audio_SP21; 3361ee02-Audio_SP10; 34ad326e-Audio_SP7; 375a28cd-Audio_SP16; 42d56bbf-Audio_SP23; 49ae7020-Audio_SP17; 501e6487-Audio_SP19; 51a17262-Audio_SP18; 5278b5b9-Audio_SP15; 5586979c-Audio_SP18; 5819ce7a-Audio_SP11; 63239054-Audio_SP15; 713a2f9b-Audio_SP16; 7a414497-Audio_SP15; 7aee4437-Audio_SP12; 7dec1dd7-Audio_SP13; 7e277fda-Audio_SP28; 85c7895f-Audio_SP16; 919b9bc1-Audio_SP14; 9a0c18cb-Audio_SP14; a1a056ce-Audio_SP11; a452055c-Audio_SP11; adad0062-Audio_SP17; c3533b36-Audio_SP16; cafd9c21-Audio_SP27; d4c363bf-Audio_SP13; dbeec025-Audio_SP13; e90f8e4d-Audio_SP22; fcd45f4d-Audio_SP21
1,u,8,3,499.5481176066917,921.897445761682,2.1562253452990587,42.94783643810175,2e25304d-Audio_SP12; 49ae7020-Audio_SP17; 514fc6b6-Audio_SP19
