audio,vowel_norm,f1_median,f2_median,chosen_k,cluster
061ea7d0-Audio_SP16,i,414.9667912135186,2165.304763769491,2,2
0af9ac47-Audio_SP14,i,430.770601933547,2076.185294861082,2,2
0e6115f2-Audio_SP19,i,361.9798692756276,2242.710787993946,2,2
0f786745-Audio_SP20,i,368.6180245235911,2176.7885625017234,2,2
12c532f8-Audio_SP15,i,342.33805972940934,2128.8003494464783,2,2
181d5ce9-Audio_SP21,i,348.7632974620207,2026.306804261761,2,2
1c403477-Audio_SP13,i,372.8142985129683,2127.747631671456,2,2
1d46eb6e-Audio_SP18,i,389.8127923134527,2328.1856304511066,2,1
2988c6fc-Audio_SP13,i,350.5740576324679,2311.6932727965145,2,2
2e25304d-Audio_SP12,i,420.8222314108283,2393.8021657035506,2,1
30a90cb2-Audio_SP21,i,391.0269216835491,2166.766835377606,2,2
3361ee02-Audio_SP10,i,327.4631769980781,1808.6533619470224,2,2
34ad326e-Audio_SP7,i,324.244216862576,2081.603492279575,2,2
375a28cd-Audio_SP16,i,360.7315539799458,2076.099723923443,2,2
42d56bbf-Audio_SP23,i,300.0523742218971,2191.908520672724,2,2
49ae7020-Audio_SP17,i,463.7514279429016,2350.297638223938,2,1
501e6487-Audio_SP19,i,315.1124023829682,1940.5327565557216,2,2
514fc6b6-Audio_SP19,i,469.5691193409915,2664.288483301759,2,1
51a17262-Audio_SP18,i,408.5976290047712,2805.0985379376166,2,1
5278b5b9-Audio_SP15,i,333.0615261311883,2224.365761051657,2,2
5586979c-Audio_SP18,i,393.4612178596391,2113.587946735772,2,2
5819ce7a-Audio_SP11,i,398.26607118562384,2366.687870232576,2,1
5a932187-audio_SP16,i,386.6279313707991,2121.1818220481823,2,2
63239054-Audio_SP15,i,377.5544605670518,2016.937289413809,2,2
713a2f9b-Audio_SP16,i,327.0105516191462,2048.6550889617192,2,2
7a414497-Audio_SP15,i,368.4185680847525,2148.479074393479,2,2
7aee4437-Audio_SP12,i,427.7558827361903,2251.286759008278,2,2
7c3c98d2-Audio_SP13,i,340.93978333551024,2520.594418256848,2,2
7dec1dd7-Audio_SP13,i,362.710226230876,2085.7642427103183,2,2
7e277fda-Audio_SP28,i,409.4093360874458,2212.00755826398,2,2
85c7895f-Audio_SP16,i,336.2113683691624,2117.0372489725896,2,2
919b9bc1-Audio_SP14,i,329.03184554219786,2188.637451754093,2,2
9a0c18cb-Audio_SP14,i,305.2818775997876,2020.921369510473,2,2
a1a056ce-Audio_SP11,i,432.16265944905007,2513.0205942955904,2,1
a452055c-Audio_SP11,i,350.1009875471542,2024.1236916583457,2,2
adad0062-Audio_SP17,i,404.06514869413246,2070.575701064853,2,2
c3533b36-Audio_SP16,i,354.2790248296264,2042.3147727038,2,2
cafd9c21-Audio_SP27,i,391.29739987478393,1960.4317996553264,2,2
d4c363bf-Audio_SP13,i,403.499217920337,2502.554278927994,2,1
dbeec025-Audio_SP13,i,421.22242201447006,1980.126667758952,2,2
e90f8e4d-Audio_SP22,i,363.10855012588496,2311.7145530598577,2,2
f061152e-Audio_SP12,i,481.4955661090145,2411.643823070924,2,1
fcd45f4d-Audio_SP21,i,376.56710038081,1990.3813990246829,2,2
061ea7d0-Audio_SP16,o,529.2476879146652,1077.7578147473548,2,2
0af9ac47-Audio_SP14,o,601.7086366057465,1186.898676995732,2,1
0e6115f2-Audio_SP19,o,466.2474762760978,1169.4068830621834,2,2
0f786745-Audio_SP20,o,503.8187965157098,935.7038259934844,2,2
12c532f8-Audio_SP15,o,492.35126714639387,1104.242746902523,2,2
181d5ce9-Audio_SP21,o,489.0580274897175,1122.234736047366,2,2
1c403477-Audio_SP13,o,478.58031892828274,1103.082825791932,2,2
1d46eb6e-Audio_SP18,o,510.3566313335526,1100.1029949146955,2,2
2988c6fc-Audio_SP13,o,501.77046003017966,1030.6250940465006,2,2
2e25304d-Audio_SP12,o,646.2882278337952,1268.773412814112,2,1
30a90cb2-Audio_SP21,o,478.912376944758,1188.5677336381789,2,2
3361ee02-Audio_SP10,o,475.1720362798924,1116.1011052006993,2,2
34ad326e-Audio_SP7,o,523.181136763697,1115.2216878827894,2,2
375a28cd-Audio_SP16,o,468.64214901538577,985.8158179755766,2,2
42d56bbf-Audio_SP23,o,397.6124858481869,963.3294256862428,2,2
49ae7020-Audio_SP17,o,571.463190162369,1138.8638080084982,2,2
501e6487-Audio_SP19,o,417.62918961509934,1156.2871557735175,2,2
514fc6b6-Audio_SP19,o,585.6740601809934,1191.0330761731277,2,1
51a17262-Audio_SP18,o,498.52475526709503,1007.7391877290588,2,2
5278b5b9-Audio_SP15,o,416.7302761578784,1185.4477293377597,2,2
5586979c-Audio_SP18,o,505.3922517455434,1149.1790294959792,2,2
5819ce7a-Audio_SP11,o,541.2232803672385,1118.542887240905,2,2
5a932187-audio_SP16,o,572.5852856468946,1378.2347048952006,2,1
63239054-Audio_SP15,o,514.9711017645832,1094.4855307134071,2,2
713a2f9b-Audio_SP16,o,446.9568007176956,1089.4097384888985,2,2
7a414497-Audio_SP15,o,539.291399142744,1139.8428795610912,2,2
7aee4437-Audio_SP12,o,518.646572223963,1188.7982337180174,2,2
7c3c98d2-Audio_SP13,o,629.2976685259247,1348.2862424776984,2,1
7dec1dd7-Audio_SP13,o,509.93664766640825,1159.299860823991,2,2
7e277fda-Audio_SP28,o,518.0803010582499,1003.2869642161942,2,2
85c7895f-Audio_SP16,o,451.2528596696057,972.119783228264,2,2
919b9bc1-Audio_SP14,o,498.5552797104741,1113.0031342948498,2,2
