audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
e90f8e4d-Audio_SP22,H1,i,e,146030.28002668126,120953.93573206216,31098.479500134043,235885.73625860937,21.29591170711446,25.7110108173938,13.183704955368622
e90f8e4d-Audio_SP22,H1,i,a,146030.28002668126,125589.68009889741,0.0,271619.9601255787,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H1,i,o,146030.28002668126,150050.81345885238,0.0,296081.09348553367,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H1,i,u,146030.28002668126,181695.18435171657,0.0,327725.4643783978,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H1,e,a,120953.93573206216,125589.68009889741,4349.801256357562,242193.81457460203,3.596246149437639,3.4635021388160623,1.796000143107581
e90f8e4d-Audio_SP22,H1,e,o,120953.93573206216,150050.81345885238,0.0,271004.74919091456,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H1,e,u,120953.93573206216,181695.18435171657,0.0,302649.12008377875,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H1,a,o,125589.68009889741,150050.81345885238,7945.752494183036,267694.74106356676,6.326755898992687,5.295374487497835,2.9682138926652426
e90f8e4d-Audio_SP22,H1,a,u,125589.68009889741,181695.18435171657,0.0,307284.86445061397,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H1,o,u,150050.81345885238,181695.18435171657,80367.34392971391,251378.65388085504,53.560085465149854,44.231961466927366,31.97063182930612
e90f8e4d-Audio_SP22,H2,i,e,136641.9081783169,177583.33809165697,34375.09306130095,279850.15320867294,25.157064563561022,19.357161223965033,12.283392618216233
e90f8e4d-Audio_SP22,H2,i,a,136641.9081783169,242296.9165805992,0.0,378938.8247589161,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H2,i,o,136641.9081783169,126879.16256659247,0.0,263521.07074490935,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H2,i,u,136641.9081783169,104056.80402243968,0.0,240698.71220075656,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H2,e,a,177583.33809165697,242296.9165805992,19306.30890849899,400573.9457637572,10.871689380303422,7.968037390222758,4.819661666134696
e90f8e4d-Audio_SP22,H2,e,o,177583.33809165697,126879.16256659247,0.0,304462.5006582494,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H2,e,u,177583.33809165697,104056.80402243968,0.0,281640.14211409667,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H2,a,o,242296.9165805992,126879.16256659247,26457.131933737735,342718.94721345394,10.919301948663826,20.852227740588784,7.719775095264743
e90f8e4d-Audio_SP22,H2,a,u,242296.9165805992,104056.80402243968,0.0,346353.7206030389,0.0,0.0,0.0
e90f8e4d-Audio_SP22,H2,o,u,126879.16256659247,104056.80402243968,48265.77227124748,182670.19431778468,38.040739940977474,46.38406178690539,26.42235776422358
