center_f1,center_f2,cov_00_f2,cov_01,cov_11_f1,det_cov,region_level,chi2_q,width_f2_axis,height_f1_axis,angle_degrees,ellipse_area_analytic,raw_n_tokens,filtered_n_tokens,removed_outliers,removed_outliers_percent,audio,half,vowel
354.8602407057463,2285.9578398230005,68081.16598304408,-3498.3134529220906,3243.5947538675596,208589515.8048925,0.8,3.218875824868201,937.5513401684711,198.34232213654693,176.92052037979428,146049.5872125347,246,231,15,6.097560975609756,e90f8e4d-Audio_SP22,H1,i
466.6141542787862,1931.7131582064135,57232.65973724196,-1391.357216904701,2533.0979306165523,143040057.03905606,0.8,3.218875824868201,858.69359052823,179.33077715144398,178.543859793209,120943.61156244298,344,336,8,2.3255813953488373,e90f8e4d-Audio_SP22,H1,e
634.6520770203995,1481.3492489809391,39007.62358429567,-3997.5793143317323,4366.905827054072,154361978.3554199,0.8,3.218875824868201,712.8152063167221,224.4178651368084,173.5017911292027,125638.94005658329,392,376,16,4.081632653061225,e90f8e4d-Audio_SP22,H1,a
476.8139713076039,999.8621130132165,81678.05597540132,7474.989168172047,3380.3072987448254,220221465.69664782,0.8,3.218875824868201,1029.9282237615523,185.51843812246491,-174.5950986047619,150066.5575779229,355,352,3,0.8450704225352111,e90f8e4d-Audio_SP22,H1,o
401.9626663727535,755.0097826201169,106358.00197211545,1215.92719113172,3051.9367548582895,323119416.45785654,0.8,3.218875824868201,1170.297846417472,197.76495580586163,-179.32574499141177,181775.61546330038,53,51,2,3.7735849056603774,e90f8e4d-Audio_SP22,H1,u
362.5064336127315,2377.6649394238784,63982.99348213619,-5068.070215262353,3254.3828819679416,182539823.01850128,0.8,3.218875824868201,910.61603629758,191.0327083554072,175.26208961053192,136625.8599217292,235,220,15,6.382978723404255,e90f8e4d-Audio_SP22,H2,i
487.53227193264746,2011.808744115531,103137.05650906081,-2438.7972175940395,3045.54875114468,308161201.7793637,0.8,3.218875824868201,1152.695171316459,196.08244796032497,178.6050531336313,177518.27759228979,282,275,7,2.4822695035460995,e90f8e4d-Audio_SP22,H2,e
662.2139100541976,1436.4741223895833,66157.827274482,-804.233118827009,8688.48310443738,574164373.5912064,0.8,3.218875824868201,923.0169027871758,334.25097368042367,179.1984050304415,242310.4903989419,302,300,2,0.6622516556291391,e90f8e4d-Audio_SP22,H2,a
496.9001835384133,1007.3882265454484,42375.14983066247,4918.974965415957,4292.182481405109,157685561.03969717,0.8,3.218875824868201,744.0764923252134,217.29142811125018,-172.75773897536712,126984.30889136848,315,311,4,1.2698412698412698,e90f8e4d-Audio_SP22,H2,o
398.0358135723684,822.1174077564867,47615.400963933505,4556.747192975338,2659.8333322973313,105885085.63388406,0.8,3.218875824868201,786.7396500194313,168.40329020001715,-174.27008559501115,104057.04577895459,74,72,2,2.7027027027027026,e90f8e4d-Audio_SP22,H2,u
