vowel,audio,CountryRes,Sex,Income_group,n_tokens
e,1c403477-Audio_SP13,SV,M,1,924
e,1d46eb6e-Audio_SP18,VE,M,4,1305
e,2988c6fc-Audio_SP13,VE,M,2,604
e,2e25304d-Audio_SP12,AR,F,3,319
e,30a90cb2-Audio_SP21,EC,M,3,823
e,3361ee02-Audio_SP10,PY,M,1,589
e,34ad326e-Audio_SP7,CO,M,2,384
e,375a28cd-Audio_SP16,AR,M,2,887
e,42d56bbf-Audio_SP23,VE,M,3,2706
e,49ae7020-Audio_SP17,PE,M,4,652
e,501e6487-Audio_SP19,VE,M,1,1452
e,514fc6b6-Audio_SP19,VE,F,4,1269
e,51a17262-Audio_SP18,VE,F,4,835
e,5278b5b9-Audio_SP15,CO,M,3,410
e,5586979c-Audio_SP18,CO,M,4,1221
e,5819ce7a-Audio_SP11,VE,F,3,1089
e,5a932187-audio_SP16,VE,F,3,1040
e,63239054-Audio_SP15,CO,M,1,646
e,713a2f9b-Audio_SP16,PE,M,2,785
e,7a414497-Audio_SP15,DO,F,3,491
e,7aee4437-Audio_SP12,VE,M,3,427
e,7c3c98d2-Audio_SP13,EC,F,2,1123
e,7dec1dd7-Audio_SP13,AR,M,4,569
e,7e277fda-Audio_SP28,VE,M,3,894
e,85c7895f-Audio_SP16,CO,M,2,1381
e,919b9bc1-Audio_SP14,PE,M,2,589
e,9a0c18cb-Audio_SP14,VE,M,3,410
e,a1a056ce-Audio_SP11,PE,F,4,485
e,a452055c-Audio_SP11,EC,M,3,911
e,adad0062-Audio_SP17,EC,M,3,1029
e,c3533b36-Audio_SP16,VE,M,3,498
e,cafd9c21-Audio_SP27,CO,M,2,1306
e,d4c363bf-Audio_SP13,AR,F,4,912
e,dbeec025-Audio_SP13,VE,M,4,708
e,e90f8e4d-Audio_SP22,CO,M,3,626
e,f061152e-Audio_SP12,VE,F,4,812
e,fcd45f4d-Audio_SP21,VE,M,2,593
i,061ea7d0-Audio_SP16,CO,M,2,611
i,0af9ac47-Audio_SP14,VE,M,3,571
i,0e6115f2-Audio_SP19,PE,M,2,836
i,0f786745-Audio_SP20,DO,M,1,698
i,12c532f8-Audio_SP15,AR,M,4,562
i,181d5ce9-Audio_SP21,VE,M,2,293
i,1c403477-Audio_SP13,SV,M,1,737
i,1d46eb6e-Audio_SP18,VE,M,4,928
i,2988c6fc-Audio_SP13,VE,M,2,569
i,2e25304d-Audio_SP12,AR,F,3,209
i,30a90cb2-Audio_SP21,EC,M,3,856
i,3361ee02-Audio_SP10,PY,M,1,518
i,34ad326e-Audio_SP7,CO,M,2,265
i,375a28cd-Audio_SP16,AR,M,2,619
i,42d56bbf-Audio_SP23,VE,M,3,2037
i,49ae7020-Audio_SP17,PE,M,4,541
i,501e6487-Audio_SP19,VE,M,1,898
i,514fc6b6-Audio_SP19,VE,F,4,825
i,51a17262-Audio_SP18,VE,F,4,508
i,5278b5b9-Audio_SP15,CO,M,3,524
i,5586979c-Audio_SP18,CO,M,4,739
i,5819ce7a-Audio_SP11,VE,F,3,845
i,5a932187-audio_SP16,VE,F,3,809
i,63239054-Audio_SP15,CO,M,1,478
i,713a2f9b-Audio_SP16,PE,M,2,701
i,7a414497-Audio_SP15,DO,F,3,496
i,7aee4437-Audio_SP12,VE,M,3,362
