social_variable,vowel,social_group,n_tokens,n_audios,f1_20_mean,f1_20_median,f1_20_std,f1_20_iqr,f2_20_mean,f2_20_median,f2_20_std,f2_20_iqr,f3_20_mean,f3_20_median,f3_20_std,f3_20_iqr,f1_80_mean,f1_80_median,f1_80_std,f1_80_iqr,f2_80_mean,f2_80_median,f2_80_std,f2_80_iqr,f3_80_mean,f3_80_median,f3_80_std,f3_80_iqr,delta_f1_mean,delta_f1_median,delta_f1_std,delta_f1_iqr,delta_f2_mean,delta_f2_median,delta_f2_std,delta_f2_iqr,delta_f3_mean,delta_f3_median,delta_f3_std,delta_f3_iqr,delta_magnitude_mean,delta_magnitude_median,delta_magnitude_iqr
CountryRes,a,AR,4028,5,624.1210408284402,606.3443154763193,112.96182240749316,143.1620332753488,1534.2070026264823,1549.7763015567662,296.68549668142833,367.8391871756387,2571.027263651626,2519.573168604726,434.6530249950966,394.7650605506419,640.1222655994253,627.3281339936536,119.96799555271593,163.75023749776165,1495.7695535126002,1508.4759968395635,270.44218486193375,325.1145806686377,2562.5036626383376,2498.078220597281,462.24192010194565,436.2814300245941,16.001224770985015,14.587061094927037,102.55991378182715,97.54560908564864,-38.43744911388196,-32.08763160516219,189.04331855395148,198.27772561239942,-8.52360101328827,-17.62588207058957,219.68552865309408,186.88502265073294,253.25541986540804,209.6511135291775,198.17037646060749
CountryRes,a,CO,7700,8,632.2776490682388,634.1742597481939,90.87875745902758,112.13306377509139,1487.4236865716152,1476.5817491188686,211.6852208715645,252.17210481471056,2553.5392171047897,2512.330920312093,365.55938950588546,341.76498629282514,634.5213662453822,640.7806832204454,98.21411784284649,127.46862130104364,1462.65330791001,1465.7343438493253,189.5495961737657,237.9577554710013,2542.117489516867,2495.5353565490877,382.1796002513956,336.67096094363524,2.243717177143467,4.643872133394439,89.3701080276439,94.4636667960389,-24.770378661605072,-17.4471384686521,180.2876165103113,186.93126407955975,-11.421727587922742,-17.10185585657814,240.53953982220003,207.42891123772654,255.85826278234458,207.54670310207922,201.37123719804632
CountryRes,a,DO,1910,2,632.905011139992,628.9814636158139,95.98555450715065,110.06004009838261,1095.720813003116,939.2481181023437,393.602385423772,704.2514173590646,1947.3646736358312,1868.016877637143,587.2950250524389,1083.1369762429672,652.8845205628369,645.9861041920831,93.25754882694456,109.97531660778066,1085.7583921970177,945.0181000670128,348.2290445653229,625.2132959783111,1933.9079064496361,1831.2375494269927,580.1426313651434,1068.230501281736,19.97950942284494,16.65011012687171,89.42925311236247,93.30637749447382,-9.962420806098699,-7.783417537112996,159.41907386963229,160.57536423800354,-13.456767186194728,-8.838080313953355,217.36924240332075,217.81621593411302,236.31336193505624,195.28327840106186,185.5606742752076
CountryRes,a,EC,4451,4,663.5369020994111,617.8719406343719,160.6581779030809,169.03800220718597,1502.5173023001685,1492.1800646310485,247.47104630539488,315.5087285543666,2625.8937518742086,2588.507987619509,408.9085329207242,577.7151533383717,651.3814185266008,624.9559575925816,155.65986813305412,151.95141599755163,1472.5544176027993,1468.4221668546156,231.10525316121982,301.74993560889925,2632.925168664671,2596.4051410529305,428.9024742131086,613.3910106329472,-12.155483572810391,-1.480628198980071,143.1138535028485,116.91762108372822,-29.96288469736917,-21.6957291120234,182.62556103829854,192.45834243400225,7.031416790462365,1.5856969235151155,251.95111799924845,241.73482693475216,284.68474481011515,240.41980643045127,227.59861338275624
CountryRes,a,PE,3276,5,609.3841299220265,598.1444405524805,117.21483145874245,125.84976168955814,1536.2600322806798,1542.736492979598,249.40101567841194,258.1915359146931,2579.428500209036,2614.0592745615813,363.74795383122154,334.22599279048245,598.1246875160708,592.8178119021356,125.5892427183265,144.85239132655306,1511.1421155402754,1516.2734004962417,236.58488990594597,241.3348483474399,2581.930123038914,2603.7894570674953,375.0318287659014,349.96006039910753,-11.259442405955813,-4.9754627998486285,122.62527757516486,110.04655519521029,-25.117916740404127,-19.994390614938368,173.83471247440747,181.11782526432586,2.501622829877558,-0.4557045972853757,221.96280197159876,205.11685213213912,254.9455101577227,210.4431155060537,198.167356336507
CountryRes,a,PY,575,1,578.2848171235562,567.3608986821771,95.14799512791933,118.88672087373811,1390.6746575429868,1400.8065846263542,172.90623938667449,236.58502465739525,2333.7801512537617,2334.7516646817307,296.00475037063967,429.6271402760649,605.256367923279,592.7186418366311,111.53741092297913,148.30088509050097,1372.5454283582392,1375.778164251839,173.82273792527585,261.4468439185439,2344.485769116128,2344.335698317425,295.2425408290452,431.142824659727,26.97155079972278,24.292901086247866,118.65582555478869,121.83935733482352,-18.129229184747828,-37.076561469166336,157.75803311274117,150.62786075139172,10.705617862365767,7.342615318818389,279.1227570600989,331.62872453083503,292.9856222267741,248.32895768561744,217.021415948711
CountryRes,a,SV,754,1,621.9649046615825,616.8532210705564,102.8509540004476,95.88959853073038,1517.0715677723401,1512.433825920455,171.64928892745007,175.88885803719927,2383.990207942004,2326.6714739778763,252.86911516831412,317.48839952062417,631.8403676576847,629.1981785503756,116.8047294600976,128.9881214022895,1516.2512647723106,1517.5408998828698,154.46695569668066,165.96284636154837,2418.8346745466315,2380.3200155076074,247.37206669777703,322.9645735932845,9.875462996102323,6.621562029113818,120.71530167561512,114.98968296256845,-0.8203030000294075,-1.865092195629245,151.78013653005493,165.9910528992216,34.84446660462754,17.04074460711945,221.16991201338058,218.92562082103194,248.25666138788168,211.06108447414402,197.34092967156298
CountryRes,a,VE,16966,17,658.7883706743216,648.1403827871229,142.35264943306652,160.85951536817333,1514.7442800341173,1522.6396313875073,274.9910452149178,341.2583388865137,2505.782880160663,2481.3621798859494,474.7700288038305,555.9004492808149,662.8022498654854,661.0267911144658,161.27304370039747,178.85672141208568,1495.386181847552,1505.434507641274,251.46326824677138,302.65196241970784,2500.6485292703255,2483.0564346538386,492.14176476098606,582.2950068353589,4.013879191163721,6.207871651613516,131.7858160155159,123.76775559525865,-19.358098186565236,-14.499186980493505,175.96499812912964,183.64265331201824,-5.134350890337062,-3.8463950659020156,234.41995489142903,229.03403002553523,269.857242030898,228.88245750805936,209.36128164345715
CountryRes,e,AR,3536,5,464.50685642977027,454.97396698738623,80.12869347754487,82.51140856591417,1985.558482301627,1960.6334351536457,265.0237873683705,373.4655155218841,2911.792887245501,2707.9889995889635,624.9392091621129,491.04791320369986,459.4731982716742,454.8770371466396,75.35416789942103,90.03409010609306,1999.4143034260087,1990.5575428712805,260.30561382923685,360.3205056800248,2902.223279005583,2690.959618906258,623.1441878940547,472.9766371034543,-5.0336581580960775,-4.115948529615423,72.95260172860928,65.25179222394837,13.855821124381873,13.005575222248467,183.14918070909792,181.01292163137816,-9.5696082399174,-7.400094273996274,201.56539210816842,171.04050402953305,223.4173702768848,173.0533576156604,176.54680531668947
CountryRes,e,CO,6730,8,468.8495457461423,465.1725522300494,74.29854468877512,94.10776179343634,1846.1374016635966,1843.8895867021665,232.74239540217118,284.66839265448994,2611.9670718595153,2559.3217890761666,337.2512513678468,299.47925916818986,459.12454415394996,457.7133732669354,71.1126464522486,99.58827571678842,1878.55188515362,1879.7767654193092,234.36471136952966,293.9262047572513,2601.355942456771,2550.6860392798185,329.0733302655253,281.6832948868955,-9.725001592192429,-7.2511220556086755,66.4021157499361,62.59538238705943,32.41448349002373,26.788916996954754,173.833980094415,169.67424404832525,-10.611129402743995,-10.516296993170954,182.51878577576318,159.4922851355375,207.28654294412087,164.00095328582768,163.77912005534753
