source_file,status,n_rows_loaded,f1_20,f2_20,f3_20,f1_80,f2_80,f3_80,delta_f1,delta_f2,delta_f3
85c7895f-Audio_SP16_tracks_track_features.csv,loaded,5987,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
919b9bc1-Audio_SP14_tracks_track_features.csv,loaded,2220,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
9a0c18cb-Audio_SP14_tracks_track_features.csv,loaded,2121,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
a1a056ce-Audio_SP11_tracks_track_features.csv,loaded,1703,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
a452055c-Audio_SP11_tracks_track_features.csv,loaded,3993,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
adad0062-Audio_SP17_tracks_track_features.csv,loaded,3892,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
c3533b36-Audio_SP16_tracks_track_features.csv,loaded,2023,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
cafd9c21-Audio_SP27_tracks_track_features.csv,loaded,5194,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
d4c363bf-Audio_SP13_tracks_track_features.csv,loaded,3535,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
dbeec025-Audio_SP13_tracks_track_features.csv,loaded,2812,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
e90f8e4d-Audio_SP22_tracks_track_features.csv,loaded,2610,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
f061152e-Audio_SP12_tracks_track_features.csv,loaded,3019,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
fcd45f4d-Audio_SP21_tracks_track_features.csv,loaded,2562,f1s_value20,f2s_value20,f3s_value20,f1s_value80,f2s_value80,f3s_value80,f1s_delta20_80,f2s_delta20_80,f3s_delta20_80
