pair,centroid_distance_H1,centroid_distance_H2
i-e,249.53490417564976,223.4884268896042
i-a,700.1891228921515,659.2537589946556
i-o,954.5329967422953,912.6013164116919
i-u,1098.309789019148,1002.0425142575654
e-a,450.84318586557185,435.87105296530933
e-o,716.2704591986405,697.7101293484337
e-u,868.5216648896474,795.6002669994916
a-o,315.5044983332204,304.13622832973607
a-u,487.574825286159,431.0248365357362
o-u,172.72270552720448,134.8120667515457
