audio,classification_accuracy_mean,silhouette_H1,silhouette_H2,silhouette_diff_H2_minus_H1,overlap_H1_a,overlap_H1_e,overlap_H1_i,overlap_H1_o,overlap_H1_u,overlap_H2_a,overlap_H2_e,overlap_H2_i,overlap_H2_o,overlap_H2_u,overlap_diff_H2_minus_H1_a,overlap_diff_H2_minus_H1_e,overlap_diff_H2_minus_H1_i,overlap_diff_H2_minus_H1_o,overlap_diff_H2_minus_H1_u
061ea7d0-Audio_SP16,0.6815479713958061,0.1648477231012618,0.1838553404161752,0.0190076173149134,3.1446540880503147,54.56405693950177,26.77284793325749,59.18203151190078,56.69599845847517,2.1916962494212067,44.42730428075588,25.12955808913597,38.22417809992234,47.78950093857208,-0.952957838629108,-10.136752658745891,-1.6432898441215222,-20.95785341197844,-8.906497519903084
0af9ac47-Audio_SP14,0.6851080126707172,0.197074144418458,0.2065238224579874,0.0094496780395293,20.63747154144904,84.4173982442139,21.197498247695044,87.97608503100088,37.92293882060489,43.652927120669055,100.0,31.64116828929068,99.68611521418022,36.062513462412944,23.015455579220014,15.5826017557861,10.443670041595635,11.710030183179342,-1.8604253581919465
0e6115f2-Audio_SP19,0.6531249155245586,0.1844773766903094,0.1834968134517841,-0.0009805632385253,19.726447352906497,35.0664295428392,21.71586892137193,66.7014225068891,33.76603465017632,20.941537674299603,27.95990812278137,19.890592771948707,78.8493086477619,42.60570671304924,1.215090321393106,-7.106521420057831,-1.825276149423221,12.1478861408728,8.839672062872914
0f786745-Audio_SP20,0.7099505928526754,0.1373935837281959,0.1523545855837521,0.0149610018555561,22.88290827110046,28.673611444481782,28.32147937411096,61.2728824812672,42.86094123903218,18.328341178148623,30.56220718375846,32.558784383318546,36.50519031141869,19.748772194937665,-4.554567092951839,1.8885957392766777,4.237305009207585,-24.767692169848516,-23.112169044094514
12c532f8-Audio_SP15,0.6916521468574984,0.1847533275183681,0.1625028458313821,-0.0222504816869859,11.987514762949216,49.730269730269725,30.033583879737723,75.11651837055868,49.206493980299165,13.37992080130445,51.9888231426693,35.26714640514552,70.56229993356283,49.70999482133609,1.3924060383552348,2.2585534123995714,5.233562525407795,-4.554218436995853,0.5035008410369244
181d5ce9-Audio_SP21,0.6520506982687605,0.1199790229654187,0.1233399326765836,0.0033609097111649,28.58524009023526,59.19625438938744,33.460119216576786,52.66451213642303,21.42921713975773,27.09782387634737,48.251836838104886,25.148930086260307,38.19947913000633,30.957683741648108,-1.4874162138878901,-10.944417551282555,-8.311189130316478,-14.465033006416697,9.52846660189038
1c403477-Audio_SP13,0.67777093774005,0.1656538955019958,0.1743641466142608,0.008710251112265,9.744264451936518,43.9721719241399,28.59414978217274,46.66322161523697,52.85203313253012,18.422209660197225,73.47320484671059,34.04483343752791,62.71007013365092,45.784657881107215,8.677945208260708,29.501032922570687,5.450683655355174,16.046848518413952,-7.067375251422902
1d46eb6e-Audio_SP18,0.6874243931693961,0.2025922985060758,0.1630258415567715,-0.0395664569493043,1.5538417594972864,53.656199321834,34.675679562778654,58.43225678095364,45.096391238115245,4.762731481481482,51.066970876392425,36.22264170195398,62.82826792564178,44.11464214658279,3.208889721984195,-2.5892284454415773,1.5469621391753279,4.396011144688146,-0.9817490915324569
2988c6fc-Audio_SP13,0.7273723508272911,0.2538711973749443,0.2329472079839566,-0.0209239893909876,0.0,30.522004720255453,27.12690480597199,73.8856542903503,35.35994883975882,0.0094126506024096,25.97269440397173,29.11698844035586,59.012005191434135,42.91022767488498,0.0094126506024096,-4.549310316283723,1.990083634383872,-14.873649098916168,7.550278835126157
2e25304d-Audio_SP12,0.6909910219533861,0.1527636568033046,0.1725767013052054,0.0198130445019008,45.41615839354415,45.48520710059172,15.67386448250186,66.21647620146985,38.03097906917692,46.73753251159109,33.27994085756531,25.3524123623597,46.82427995121494,24.3665823829919,1.3213741180469398,-12.205266243026415,9.67854787985784,-19.392196250254905,-13.664396686185022
