audio,vowel,overlap_H1,overlap_H2,overlap_diff_H2_minus_H1
061ea7d0-Audio_SP16,i,26.77284793325749,25.12955808913597,-1.6432898441215222
061ea7d0-Audio_SP16,e,54.56405693950177,44.42730428075588,-10.136752658745891
061ea7d0-Audio_SP16,a,3.1446540880503147,2.1916962494212067,-0.952957838629108
061ea7d0-Audio_SP16,o,59.18203151190078,38.22417809992234,-20.95785341197844
061ea7d0-Audio_SP16,u,56.69599845847517,47.78950093857208,-8.906497519903084
0af9ac47-Audio_SP14,i,21.197498247695044,31.64116828929068,10.443670041595635
0af9ac47-Audio_SP14,e,84.4173982442139,100.0,15.5826017557861
0af9ac47-Audio_SP14,a,20.63747154144904,43.652927120669055,23.015455579220014
0af9ac47-Audio_SP14,o,87.97608503100088,99.68611521418022,11.710030183179342
0af9ac47-Audio_SP14,u,37.92293882060489,36.062513462412944,-1.8604253581919465
0e6115f2-Audio_SP19,i,21.71586892137193,19.890592771948707,-1.825276149423221
0e6115f2-Audio_SP19,e,35.0664295428392,27.95990812278137,-7.106521420057831
0e6115f2-Audio_SP19,a,19.726447352906497,20.941537674299603,1.215090321393106
0e6115f2-Audio_SP19,o,66.7014225068891,78.8493086477619,12.1478861408728
0e6115f2-Audio_SP19,u,33.76603465017632,42.60570671304924,8.839672062872914
0f786745-Audio_SP20,i,28.32147937411096,32.558784383318546,4.237305009207585
0f786745-Audio_SP20,e,28.673611444481782,30.56220718375846,1.8885957392766777
0f786745-Audio_SP20,a,22.88290827110046,18.328341178148623,-4.554567092951839
0f786745-Audio_SP20,o,61.2728824812672,36.50519031141869,-24.767692169848516
0f786745-Audio_SP20,u,42.86094123903218,19.748772194937665,-23.112169044094514
12c532f8-Audio_SP15,i,30.033583879737723,35.26714640514552,5.233562525407795
12c532f8-Audio_SP15,e,49.730269730269725,51.9888231426693,2.2585534123995714
12c532f8-Audio_SP15,a,11.987514762949216,13.37992080130445,1.3924060383552348
12c532f8-Audio_SP15,o,75.11651837055868,70.56229993356283,-4.554218436995853
12c532f8-Audio_SP15,u,49.206493980299165,49.70999482133609,0.5035008410369244
181d5ce9-Audio_SP21,i,33.460119216576786,25.148930086260307,-8.311189130316478
181d5ce9-Audio_SP21,e,59.19625438938744,48.251836838104886,-10.944417551282555
181d5ce9-Audio_SP21,a,28.58524009023526,27.09782387634737,-1.4874162138878901
181d5ce9-Audio_SP21,o,52.66451213642303,38.19947913000633,-14.465033006416697
181d5ce9-Audio_SP21,u,21.42921713975773,30.957683741648108,9.52846660189038
1c403477-Audio_SP13,i,28.59414978217274,34.04483343752791,5.450683655355174
1c403477-Audio_SP13,e,43.9721719241399,73.47320484671059,29.501032922570687
1c403477-Audio_SP13,a,9.744264451936518,18.422209660197225,8.677945208260708
1c403477-Audio_SP13,o,46.66322161523697,62.71007013365092,16.046848518413952
1c403477-Audio_SP13,u,52.85203313253012,45.784657881107215,-7.067375251422902
1d46eb6e-Audio_SP18,i,34.675679562778654,36.22264170195398,1.5469621391753279
1d46eb6e-Audio_SP18,e,53.656199321834,51.066970876392425,-2.5892284454415773
1d46eb6e-Audio_SP18,a,1.5538417594972864,4.762731481481482,3.208889721984195
1d46eb6e-Audio_SP18,o,58.43225678095364,62.82826792564178,4.396011144688146
1d46eb6e-Audio_SP18,u,45.096391238115245,44.11464214658279,-0.9817490915324569
2988c6fc-Audio_SP13,i,27.12690480597199,29.11698844035586,1.990083634383872
2988c6fc-Audio_SP13,e,30.522004720255453,25.97269440397173,-4.549310316283723
2988c6fc-Audio_SP13,a,0.0,0.0094126506024096,0.0094126506024096
2988c6fc-Audio_SP13,o,73.8856542903503,59.012005191434135,-14.873649098916168
2988c6fc-Audio_SP13,u,35.35994883975882,42.91022767488498,7.550278835126157
2e25304d-Audio_SP12,i,15.67386448250186,25.3524123623597,9.67854787985784
2e25304d-Audio_SP12,e,45.48520710059172,33.27994085756531,-12.205266243026415
2e25304d-Audio_SP12,a,45.41615839354415,46.73753251159109,1.3213741180469398
2e25304d-Audio_SP12,o,66.21647620146985,46.82427995121494,-19.392196250254905
2e25304d-Audio_SP12,u,38.03097906917692,24.3665823829919,-13.664396686185022
30a90cb2-Audio_SP21,i,28.301022744619143,32.33342361863489,4.032400874015746
30a90cb2-Audio_SP21,e,74.37715211667005,86.97654941373536,12.599397297065309
30a90cb2-Audio_SP21,a,49.47347104090725,51.0127291649988,1.5392581240915533
30a90cb2-Audio_SP21,o,89.1465932553338,90.95177123346136,1.8051779781275599
30a90cb2-Audio_SP21,u,40.85519773579132,67.305479109332,26.450281373540676
3361ee02-Audio_SP10,i,22.30121880441091,21.8556955769706,-0.4455232274403116
3361ee02-Audio_SP10,e,53.140203449800985,51.66614107011458,-1.4740623796864085
3361ee02-Audio_SP10,a,30.12166709811028,41.41725540569471,11.295588307584431
3361ee02-Audio_SP10,o,51.08487991266375,73.13133627355518,22.046456360891426
3361ee02-Audio_SP10,u,42.046169046977454,45.64745599228358,3.6012869453061285
34ad326e-Audio_SP7,i,47.76959220372412,48.3427458617332,0.5731536580090761
34ad326e-Audio_SP7,e,60.67951386557443,54.78872814038479,-5.890785725189637
34ad326e-Audio_SP7,a,43.56829948227797,53.52851582332037,9.960216341042397
34ad326e-Audio_SP7,o,64.1398783666377,65.64701631841994,1.5071379517822407
