F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,B1_Hz,B2_Hz,B3_Hz,_source_file,_audio_id,_token_time,_audio_duration,_split_time,_time_basis,_split_basis,half
511.503312409736,1022.9892774056952,2570.3733700517205,2.627965823837413,3.4936176952522446,3.647676706740536,6051.282051282051,0.0008713619765876,3.59275,0.065,0.3350515463917525,0-0-0-5,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,137.6103735061696,80.07446526716602,8,Activo,,0.1699999999999999,#,",",b,#,b,.,final,13.845576894603298,32.904772079179025,38.3853818735625,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,3.59275,3734.4,1867.2,time column: time,audio_duration,H1
492.5997423658779,1212.9383219985968,2543.067643307877,2.689319248166283,3.841324430777204,3.464119795123672,6051.282051282051,6.59286821344e-05,12.147750000000002,0.035,0.3365384615384615,0-0-12-5,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,145.45612615418838,80.27802198083052,8,activo,,0.08,la,para,b,#,b,p,final,14.721650717770714,46.58713503364207,31.948326320727908,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,12.147750000000002,3734.4,1867.2,time column: time,audio_duration,H1
535.5329744263656,986.3817792859912,2443.435791345905,2.8631732354131936,4.250180154365214,2.9234416839905264,5871.794871794871,2.67693568697e-05,12.792749999999998,0.025,0.3378378378378378,0-0-16-1,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,109.92773695544211,78.1687610705118,8,conozcan,,0.0500000000000007,me,un,k,n,k,n,internal,17.517024479038106,70.11804328047202,18.605210650573564,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,12.792749999999998,3734.4,1867.2,time column: time,audio_duration,H1
558.1495154102628,1395.700563549079,2458.8698377097867,3.200116151391754,3.1098638909469543,3.874104426759272,6051.282051282051,0.0002897823452576,25.48375,0.047,0.3263888888888889,0-0-21-3,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,128.96900834705977,79.3662071131019,8,Creo,,0.1199999999999974,mejor,que,é,#,é,k,final,24.535379850127374,22.417992901297723,48.13956647257731,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,25.48375,3734.4,1867.2,time column: time,audio_duration,H1
485.4613797452978,889.8906337460234,2678.482219839769,3.141690855867993,3.927709465834879,4.391770347178188,6230.769230769231,0.0063888935402099,55.935750000000006,0.031,0.3297872340425531,0-0-34-0,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,126.77242583558863,84.27047575136474,8,Okey,,0.0700000000000002,[silence],",",#,k,.,k,initial,23.142965213099384,50.7905069386233,80.78330696201532,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,55.935750000000006,3734.4,1867.2,time column: time,audio_duration,H1
480.1215352107898,827.2519998829094,2734.376747839141,2.841049801153261,2.852593378008577,3.836523982156256,5871.794871794871,0.0005516810024523,57.32875,0.077,0.3290598290598291,0-0-38-0,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,117.06680453323727,76.30857932960582,8,okey,,0.2100000000000008,",",%%,#,k,.,k,initial,17.13374312233949,17.332673779533216,46.36403181173099,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,57.32875,3734.4,1867.2,time column: time,audio_duration,H1
457.2644947722696,970.7356949006704,2565.303941955982,3.3902923840185712,3.397760662545529,4.236934708222829,5871.794871794871,0.0053980178326655,59.18375,0.047,0.3263888888888889,0-0-42-5,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,129.4653820275663,70.90731784952041,8,dedico,,0.1200000000000045,me,[silence],k,#,k,.,final,29.67462738887961,29.897075389293654,69.19542226688523,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,59.18375,3734.4,1867.2,time column: time,audio_duration,H1
481.6681121980153,912.9560773667216,2768.889185255618,2.497493464317656,2.748162311817622,4.312899335585875,6051.282051282051,0.005735212951613,63.59875,0.177,0.3314606741573033,0-0-51-7,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,146.17377768599408,74.02660345503232,8,cursando,,0.509999999999998,estoy,ingeniería,d,#,d,i,final,12.151996342542436,15.613912001610206,74.65663008040013,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,63.59875,3734.4,1867.2,time column: time,audio_duration,H1
484.3497900725003,1430.760590632805,2540.146001508533,3.007321807371251,3.6357991184303606,4.335506133994079,6230.769230769231,6.56461273227e-05,67.71575,0.031,0.3297872340425531,0-0-61-3,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,115.642644212118,78.65793011501094,8,pero,,0.0699999999999931,",",bueno,R,#,R,b,final,20.23313905327148,37.93215307143848,76.3635993238522,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,67.71575,3734.4,1867.2,time column: time,audio_duration,H1
561.3274632866638,1243.5731700930007,2369.733522538786,3.778627102548776,3.9610382124150494,4.19420999468904,6410.25641025641,0.0005233436349312,67.98575,0.031,0.3297872340425531,0-0-62-4,o,1d46eb6e-Audio_SP18.v0,group_0,1,fave,101.19253421990052,70.24773615010177,8,bueno,,0.0700000000000073,pero,[silence],n,#,n,.,final,43.75592807793824,52.51181607742905,66.3013324774556,1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,67.98575,3734.4,1867.2,time column: time,audio_duration,H1
