center_f1,center_f2,cov_00_f2,cov_01,cov_11_f1,det_cov,region_level,chi2_q,width_f2_axis,height_f1_axis,angle_degrees,ellipse_area_analytic,raw_n_tokens,filtered_n_tokens,removed_outliers,removed_outliers_percent,audio,half,vowel
391.8551041126374,1966.6292649762945,36677.604881251966,-3923.1826786642223,4450.889600539109,147856607.80847612,0.8,3.218875824868201,691.5948159971072,226.37728880914145,173.15810696803277,122963.00413167539,492,481,11,2.2357723577235773,cafd9c21-Audio_SP27,H1,i
504.93647623803247,1746.561912512481,26978.84947954785,-1848.6114490819189,2708.897547200133,69665574.89175189,0.8,3.218875824868201,590.9050860776919,181.86771028503975,175.66914990487706,84404.03492422738,675,670,5,0.7407407407407408,cafd9c21-Audio_SP27,H1,e
630.8764509016454,1391.4422341837003,34962.81543515028,-2647.1354266757767,2912.964989718209,94838131.33741017,0.8,3.218875824868201,673.0230142979441,186.3055502549807,175.31004700952224,98479.44444666551,747,740,7,0.9370816599732262,cafd9c21-Audio_SP27,H1,a
521.7161106610068,1030.1189700910022,26993.018451502507,1541.3907514398334,2383.57309093228,61963946.97541567,0.8,3.218875824868201,590.5818380815072,171.61437544725808,-176.42992625275826,79601.93642425169,602,577,25,4.152823920265781,cafd9c21-Audio_SP27,H1,o
420.0564788814846,847.0714100416172,23680.65188114992,1383.2117388806137,2337.2005811753374,53433158.62465728,0.8,3.218875824868201,553.2175820253883,170.12716467938972,-176.30740111784326,73919.58494373002,101,97,4,3.9603960396039604,cafd9c21-Audio_SP27,H1,u
391.0422358217472,1963.0629286449343,47816.68664184011,-4777.0954506974895,4687.700876222142,201329682.92391843,0.8,3.218875824868201,788.920192623755,231.57146714590385,173.75460614664118,143485.49510760928,476,466,10,2.100840336134454,cafd9c21-Audio_SP27,H2,i
498.6548624643711,1722.3385349780774,22073.15603137811,-1568.8041429357359,2540.561519713153,53617064.39305118,0.8,3.218875824868201,534.616685284799,176.34908946876163,175.4371403102609,74046.68355976339,631,623,8,1.2678288431061806,cafd9c21-Audio_SP27,H2,e
653.4903135551203,1414.8323577735364,31228.15134193603,-3186.443102944112,4951.336416239206,144467663.30285728,0.8,3.218875824868201,637.9515693706027,242.58381879508428,173.18367168015055,121545.64986938721,816,813,3,0.3676470588235294,cafd9c21-Audio_SP27,H2,a
516.147206981021,1076.8764318905867,40010.858561280045,1460.6659274430988,2715.6166683088472,106520609.47076672,0.8,3.218875824868201,718.2585764269855,185.01213523035466,-177.76058676399612,104368.85456609995,552,544,8,1.4492753623188406,cafd9c21-Audio_SP27,H2,o
419.3702068591629,904.2082935992722,35072.67575527698,2200.4367911430677,3396.452714357757,114280762.69698422,0.8,3.218875824868201,673.4515960991429,204.3828227864124,-176.0451780945319,108103.72548504823,105,103,2,1.9047619047619049,cafd9c21-Audio_SP27,H2,u
