center_f1,center_f2,cov_00_f2,cov_01,cov_11_f1,det_cov,region_level,chi2_q,width_f2_axis,height_f1_axis,angle_degrees,ellipse_area_analytic,raw_n_tokens,filtered_n_tokens,removed_outliers,removed_outliers_percent,audio,half,vowel
366.406751186895,2064.829203630602,31171.08648302973,-729.7056472480264,6923.764655811009,215288796.5428035,0.8,3.218875824868201,633.739628592299,298.1014335469793,178.27780251642645,148376.39355459227,152,141,11,7.236842105263158,181d5ce9-Audio_SP21,H1,i
471.01612459358864,1860.4759362862906,34701.44647570918,-1123.877090103391,3320.744722933674,113971545.54871733,0.8,3.218875824868201,668.8169969598513,205.5204924306043,177.95149179382435,107957.37465862148,229,220,9,3.9301310043668125,181d5ce9-Audio_SP21,H1,e
615.9301126018547,1460.5516092812477,32828.5383224974,-4089.288284531323,5600.748389810454,167142104.4755525,0.8,3.218875824868201,656.0646705756311,253.72338458091482,171.6404948256284,130736.55260765227,245,238,7,2.857142857142857,181d5ce9-Audio_SP21,H1,a
501.41756683937865,1134.241881172732,59492.85663504001,1548.4305105736955,2506.0355513178147,146693576.7307888,0.8,3.218875824868201,875.5237235412961,178.11555357546078,-178.44470438959027,122478.4396085055,225,219,6,2.666666666666667,181d5ce9-Audio_SP21,H1,o
385.7331206556486,909.1187976730332,75809.22841071046,-5074.793267754961,4816.876569129678,339410169.34490025,0.8,3.218875824868201,990.3176881939288,239.5256920286523,175.9318555551144,186301.5726881194,34,34,0,0.0,181d5ce9-Audio_SP21,H1,u
334.8463529040381,2003.2713012443064,40508.579693472195,-1065.2505326553478,3198.583476802517,128435314.9789559,0.8,3.218875824868201,722.4677381427391,201.97052000820017,178.36590306292018,114603.08892007318,140,127,13,9.285714285714286,181d5ce9-Audio_SP21,H2,i
440.59609540921497,1796.1206473066627,22587.418773402278,-583.6966087348884,3240.0167412773517,72842913.23701711,0.8,3.218875824868201,539.4913461370837,203.69172449899875,178.2735224891559,86307.34342280125,235,229,6,2.553191489361702,181d5ce9-Audio_SP21,H2,e
605.6554313230924,1489.5442272304833,22007.528660870517,-2896.4554611451877,8397.580996648041,176420550.22731566,0.8,3.218875824868201,539.4113020367993,317.0434307018164,168.4717764361058,134316.2882933019,209,206,3,1.4354066985645932,181d5ce9-Audio_SP21,H2,a
473.6774660547503,1107.668349537132,50404.79528656438,3398.0787580015626,4904.513921524522,235664080.94896692,0.8,3.218875824868201,807.6116608116104,244.74190185054678,-175.75240503939938,155238.9844008695,249,245,4,1.6064257028112447,181d5ce9-Audio_SP21,H2,o
341.94175460848635,919.632837424314,38378.98284268361,-3217.5315446053987,3656.9210138995013,129996399.60896762,0.8,3.218875824868201,705.6593999648896,208.03420402171685,174.75023187152317,115297.4647929847,38,33,5,13.157894736842104,181d5ce9-Audio_SP21,H2,u
