vowel,f1_centroid_H1,f2_centroid_H1,f1_centroid_H2,f2_centroid_H2,f1_shift_H2_minus_H1,f2_shift_H2_minus_H1,centroid_shift_distance
i,326.65704483741587,2059.94905194592,327.6661225127273,2038.2420898288908,1.0090776753114596,-21.706962117029207,21.73040363419311
e,415.51913071388924,1789.838914650853,427.1019096473474,1778.5395484881867,11.582778933458144,-11.299366162666274,16.18136099032987
a,552.2254200542291,1446.4208819874457,565.5353056449993,1441.478284096706,13.30988559077025,-4.942597890739762,14.197969162839405
o,447.9392539231066,1083.8674537344577,446.484144161346,1095.1324494860196,-1.455109761760582,11.264995751561855,11.358585902368198
u,365.4098193150416,1021.6152495506363,376.10419743583867,1016.2089820891018,10.694378120797069,-5.406267461534526,11.983215397222484
