source_file,audio,b1_column,b2_column,b3_column,b1_action,b2_action,b3_action,b1_raw_median,b2_raw_median,b3_raw_median,b1_hz_median,b2_hz_median,b3_hz_median
85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,18.532242906205774,27.12400971283074,45.83546271139375,18.532242906205774,27.12400971283074,45.83546271139375
919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,24.386040400342754,24.732112119286917,42.963524131708056,24.386040400342754,24.732112119286917,42.963524131708056
9a0c18cb-Audio_SP14.csv,9a0c18cb-Audio_SP14,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,21.227928014955577,27.14397382308136,58.02340416644158,21.227928014955577,27.14397382308136,58.02340416644158
a1a056ce-Audio_SP11.csv,a1a056ce-Audio_SP11,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,16.486945251854785,24.23373711083937,44.03242679303804,16.486945251854785,24.23373711083937,44.03242679303804
a452055c-Audio_SP11.csv,a452055c-Audio_SP11,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,22.272128325168033,25.121785747165294,57.40535466123483,22.272128325168033,25.121785747165294,57.40535466123483
adad0062-Audio_SP17.csv,adad0062-Audio_SP17,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,15.74902530232158,36.576016742684,43.16866087326411,15.74902530232158,36.576016742684,43.16866087326411
c3533b36-Audio_SP16.csv,c3533b36-Audio_SP16,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,23.906767801302493,23.163749755086442,33.659059876869904,23.906767801302493,23.163749755086442,33.659059876869904
cafd9c21-Audio_SP27.csv,cafd9c21-Audio_SP27,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,15.727866000498722,29.459885155255844,39.58468003060063,15.727866000498722,29.459885155255844,39.58468003060063
d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,16.291685347928503,26.752978910429288,39.79863523677845,16.291685347928503,26.752978910429288,39.79863523677845
dbeec025-Audio_SP13.csv,dbeec025-Audio_SP13,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,14.486561421449572,26.533875447158593,65.49140404622541,14.486561421449572,26.533875447158593,65.49140404622541
e90f8e4d-Audio_SP22.csv,e90f8e4d-Audio_SP22,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,16.132047140242523,26.93991829765237,47.48217097312139,16.132047140242523,26.93991829765237,47.48217097312139
f061152e-Audio_SP12.csv,f061152e-Audio_SP12,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,28.98388522456885,23.498112346536924,55.284711900775605,28.98388522456885,23.498112346536924,55.284711900775605
fcd45f4d-Audio_SP21.csv,fcd45f4d-Audio_SP21,B1_Hz,B2_Hz,B3_Hz,kept_as_hz_column_name,kept_as_hz_column_name,kept_as_hz_column_name,15.030914944389131,22.08124453446169,55.56939304774822,15.030914944389131,22.08124453446169,55.56939304774822
