pair,centroid_distance_H1,centroid_distance_H2
i-e,417.0952739656491,402.5721371302569
i-a,841.3293156520865,819.8398489745143
i-o,1189.4030472490929,1230.890657892475
i-u,1415.1307877845254,1366.760006055385
e-a,424.40951282275734,417.89847361948944
e-o,777.9772473110785,831.2747471867852
e-u,1008.6670851829455,972.1742459714402
a-o,380.5002142901877,434.244804302305
a-u,618.1109672553453,589.3495419828744
o-u,237.61100705766162,162.18995902108063
