H1_audio,061ea7d0-Audio_SP16,0af9ac47-Audio_SP14,0e6115f2-Audio_SP19,0f786745-Audio_SP20,12c532f8-Audio_SP15,181d5ce9-Audio_SP21,1c403477-Audio_SP13,1d46eb6e-Audio_SP18,2988c6fc-Audio_SP13,2e25304d-Audio_SP12,30a90cb2-Audio_SP21,3361ee02-Audio_SP10,34ad326e-Audio_SP7,375a28cd-Audio_SP16,42d56bbf-Audio_SP23,49ae7020-Audio_SP17,501e6487-Audio_SP19,514fc6b6-Audio_SP19,51a17262-Audio_SP18,5278b5b9-Audio_SP15,5586979c-Audio_SP18,5819ce7a-Audio_SP11,5a932187-audio_SP16,63239054-Audio_SP15,713a2f9b-Audio_SP16,7a414497-Audio_SP15,7aee4437-Audio_SP12,7c3c98d2-Audio_SP13,7dec1dd7-Audio_SP13,7e277fda-Audio_SP28,85c7895f-Audio_SP16,919b9bc1-Audio_SP14,9a0c18cb-Audio_SP14,a1a056ce-Audio_SP11,a452055c-Audio_SP11,adad0062-Audio_SP17,c3533b36-Audio_SP16,cafd9c21-Audio_SP27,d4c363bf-Audio_SP13,dbeec025-Audio_SP13,e90f8e4d-Audio_SP22,f061152e-Audio_SP12,fcd45f4d-Audio_SP21
061ea7d0-Audio_SP16,0.8168283237091997,1.1547840672884135,0.56141444250362,1.9594974484849113,0.7630943416783753,0.8992686857995353,0.568620871763795,0.5337146298891584,0.3979281053677052,1.2552001625689222,1.610023482988969,0.8381299131122338,1.6408531013210335,1.592142314255688,0.6592113104960665,0.8841053909015144,0.6370005485204302,0.565759990027016,1.1176071371200895,1.0817343654259188,0.7022153741278923,0.48319334387395274,1.1092536268474358,1.177923967460644,1.052740197615353,1.0834920121625826,0.9187462615757773,1.2207369151304142,0.9381454107987499,1.5692027833510096,0.9470514154060383,0.7603577020561565,0.98811089313069,0.612598721617954,0.7723556402958067,0.6351789694649598,0.8160868346561914,0.9057910300909193,0.43734314405348657,1.5545814039426897,0.7990710331612926,1.0416003997620975,0.8485016057385973
0af9ac47-Audio_SP14,0.7841785858887801,0.5454534209579401,0.799611260693585,1.6295844723692752,0.666925860168748,0.6076482131310126,0.770612169112801,0.6982040657630458,0.6949903733998616,0.7538042821594545,1.7007717222738976,0.6487722391649863,1.3355109834261198,1.4595665273853393,0.9994782927866269,0.7700521036335468,0.7343692908090005,0.9171753020490152,1.4135316001872638,0.8666258850718954,0.8250831639953284,0.7784822338768986,1.0744357141113667,0.8663193557729132,1.0478533859951984,0.6925164394696335,1.2369743079619824,0.9780631911459065,0.7902494614344653,1.4425397806819988,1.0808455386490534,0.8445762896009676,0.6388556675098189,0.8826527494621783,1.0782842101544365,0.6269970062246135,0.9108618946193838,0.5780222813685967,0.9552294951376487,1.06576375481847,0.7407122651283033,1.197444766908781,0.788142881973552
0e6115f2-Audio_SP19,0.9665206091062655,0.976277331671235,0.4755106331158514,1.5746454486848815,0.8604917455838075,0.8597228366543422,0.3172318760196768,0.7824954833454287,0.7048034459688817,1.1223793544013858,1.1050376304019356,0.4830046123155548,1.1277330960386893,1.398029713410558,0.737316871252523,0.6237398971166097,0.4764692386937446,0.7053321483214772,1.0846112289203633,0.5631657039936668,0.4432827560406386,0.8427211193437603,0.7499706415295312,0.8699976599374613,0.6034922198671704,0.8657791748736203,0.697254868701547,0.8818034853036123,0.9830002174143987,1.2006238064553016,1.0498733006002112,0.5423996628424701,0.8366483266578402,0.7939934108622213,0.7512047483065672,0.46147517845668584,0.7933627517071218,0.9947445606242223,0.5977833831308715,1.3384909561227731,0.42867229540124885,1.0197364032164506,0.533774295796801
0f786745-Audio_SP20,1.857125709240738,1.461121254110533,1.77462943704279,0.3755153329935341,1.7692683317719555,1.8114203581545485,1.7382602297414547,1.8079135862559466,1.7929695302185928,1.7352043818043281,1.8356084753468331,1.5192377188731983,1.4217368360198224,1.5408439020199582,1.8292132244797272,1.7469521155571863,1.6957705390170095,1.957562861633564,2.211130777988125,1.3295368302592379,1.672183120397879,1.9717265725529636,1.7757679829007624,1.3934829393704309,1.6150238342211218,1.3999933578409516,1.726399401653376,1.6126847685449592,1.8835228830394193,0.8355639460896862,1.9469581117666452,1.8106569876449254,1.4325218451774238,2.010368803131132,1.707743933819634,1.5537991340254096,1.6723194425889374,1.6975923977887186,1.950167159822016,1.5207893948529527,1.406918369796539,2.063783732494282,1.4505148990828025
12c532f8-Audio_SP15,0.9078462111039541,0.890094121695161,0.6851659266434766,1.9205158818142354,0.3780181124512036,0.9260905366178671,0.7130151788467378,0.6822379159285509,0.7248683728549081,0.9418395212044315,1.6153543704205768,0.7347269568174845,1.394801296653719,1.3862607218556844,0.9475481266148404,0.900884996745421,0.6391035784166055,0.868401591324392,1.3759700155159809,0.9453979454546599,0.6954206803428784,0.8071938423226662,1.0528452413620266,0.9203780035738285,0.9770656502185626,1.1272623061680187,1.1189910533382328,1.1286718402729718,0.5859194430336757,1.6115111585869717,1.0248463269854085,0.6248191541614343,0.7501036183750505,0.9465964896863601,1.024360207313934,0.7459451408838054,0.6803411641962289,0.9563825869703857,0.8453434166702388,1.4502547058502833,0.8831321566093857,1.2299958895933063,0.6869084813705311
181d5ce9-Audio_SP21,0.9521154879302405,0.7676469776609974,0.726476722075791,1.5179470237329753,0.8028805058597573,0.5542848321403704,0.6956625176132705,0.735649985542887,0.8081875793003939,0.7547697427971747,1.531275206964418,0.5687542032214358,1.2883043419374778,1.455715949160274,1.0189305766863188,0.7459431574347994,0.6657076634398451,0.9187625348218894,1.4608757735546374,0.8263645786732665,0.9674770187547705,0.9067489856401679,1.013743089276656,0.8147933345662006,0.9772513498456121,0.7271563652869356,1.1943650156066665,0.9724868219815346,0.9009562738445519,1.3365340281608082,1.1561959640231039,0.964778888441756,0.737641132138523,0.7868924303979425,1.1387920133266665,0.7165720587400106,1.0885376353751137,0.7054087697086306,0.9778229345480635,1.224101963168152,0.6044775586978663,1.1055040462246537,0.6910883724811251
1c403477-Audio_SP13,0.8108744607085663,1.0745894151347777,0.38982729490278595,1.6161600020759983,0.8318956223812217,0.7360859962036509,0.2509302623610107,0.6515241084334534,0.6160226344471393,1.207243311486132,1.2705787742254804,0.6420686373044212,1.3029478526078915,1.4331868467649822,0.4876836330463806,0.8283483140034491,0.47780150847003316,0.6609961833157381,1.0799937132064548,0.6670238236150504,0.5721452095963081,0.7188681099936804,0.9143421789412638,0.9089397993492626,0.7733598078947237,0.9452602850958014,0.7885159201034224,1.0617636361490466,0.9708741369513503,1.288798390545684,0.8696446036134479,0.7152884576523294,0.7540191884568759,0.6934306222303773,0.6755324663869358,0.5263809586250484,0.7819881861007928,0.9447674494280712,0.5746902806000883,1.4339851681482858,0.47581767762214755,1.094242314668008,0.5186318284844333
1d46eb6e-Audio_SP18,0.5553587947395104,1.0270276334287647,0.5896263286473904,1.6203235769665887,0.588578750793243,0.7257110121603962,0.6305757185328882,0.2407247656788476,0.4180496989298206,1.1490102238662963,1.6176709748675018,0.8918907001039518,1.375167738912708,1.5298313787338524,0.5391684851056477,1.0754106829853969,0.5629291423535882,0.6269857129716333,1.1821848541095923,0.8028804679292663,0.7142455704626349,0.48692435183305344,1.1472689950147619,0.7509103149381766,1.0173500195576919,0.9600954271669178,0.8351910676710153,1.1373093258106446,0.727149405010165,1.3994860558771394,0.5736671096127384,0.9168443116853662,0.6638599133571018,0.5801415108742249,0.5841393404820485,0.6118533797318175,0.7022385763745089,0.6803475211896634,0.6459607642464084,1.492959390535201,0.6274080372663917,1.0414299094189872,0.5980800956899764
2988c6fc-Audio_SP13,0.7535402706993389,0.8533941355980497,0.695612221744877,1.674035185209504,0.6112234585153539,0.9735250520751346,0.7367001922765937,0.5746152277773593,0.36177947224195905,1.0466415663602486,1.6575843150337373,0.7594867571892885,1.4347016419604235,1.4136582890313603,0.792194369710155,0.8120782729753866,0.7046220884427337,0.6980279048828334,1.1984079865582873,0.915933930512218,0.5072235424674613,0.5740853064545178,1.107678135078599,1.002062531603951,1.0303320749288212,0.8962440683086315,0.8814780954441529,0.9862887804949343,0.8031469394752556,1.3091489779088712,0.9709558462761612,0.6839576320850181,0.852654767623696,0.9189360332790619,0.7662201530881431,0.49810807540367896,0.6111293580174368,0.77587109458484,0.5928316880030641,1.3031616760078706,0.772103217151674,1.1380936464699802,0.7758355034293811
2e25304d-Audio_SP12,1.061249076770629,0.8667197623162608,1.0171907280178756,1.9175729715162007,0.9280505566759637,1.0655300664243492,1.1056506552514023,1.0190364318176286,1.0571437404832253,0.5113749201558708,1.8906854419631776,0.9618949754707269,1.3396195194426912,1.9416664807638422,1.4331939331217338,0.8608794942336464,0.9707459404240473,0.9331818985768023,1.2715919269195057,1.2433799876023377,1.107181806809769,1.0909234053579409,0.9134350632434816,1.1444127891197309,1.247164091660878,0.7185257709801914,1.3471874790935958,0.8004467343197068,0.8677036867820792,1.6953268440397564,1.583703830030001,1.0501303562421995,1.1667338849086897,1.110861680586134,1.3147003662588956,1.096507578015345,1.14684395310388,0.743230378220729,1.1415407534564541,0.9773121666556535,1.075982166569648,0.9672032190215749,1.1753879298891747
